,sentence,word,sense,context,sym_context,sem_context,sns_context
22, p20/d2435,marvelous,marvelous.a.01,"['What', 'a', 'marvelous', 'family', '!']","['what', 'a', 'marvelous', 'family', '!']","['EMP', 'DIS', 'IST', 'CON', 'EMP']","['O', 'O', 'marvelous.a.01', 'family.n.01', 'O']"
23, p20/d2435,family,family.n.01,"['What', 'a', 'marvelous', 'family', '!']","['what', 'a', 'marvelous', 'family', '!']","['EMP', 'DIS', 'IST', 'CON', 'EMP']","['O', 'O', 'marvelous.a.01', 'family.n.01', 'O']"
24, p20/d3528,He,male.n.02,"['He', 'is', 'very', 'young']","['male', 'be', 'very', 'young']","['PRO', 'NOW', 'INT', 'IST']","['male.n.02', 'O', 'very.r.01', 'young.a.01']"
25, p20/d3528,very,very.r.01,"['He', 'is', 'very', 'young', '.']","['male', 'be', 'very', 'young', '.']","['PRO', 'NOW', 'INT', 'IST', 'NIL']","['male.n.02', 'O', 'very.r.01', 'young.a.01', 'O']"
26, p20/d3528,young,young.a.01,"['He', 'is', 'very', 'young', '.']","['male', 'be', 'very', 'young', '.']","['PRO', 'NOW', 'INT', 'IST', 'NIL']","['male.n.02', 'O', 'very.r.01', 'young.a.01', 'O']"
27, p10/d2075,accept,accept.v.02,"['I', 'accept', 'your', 'offer', '.']","['speaker', 'accept', 'hearer', 'offer', '.']","['PRO', 'ENS', 'HAS', 'CON', 'NIL']","['O', 'accept.v.02', 'O', 'O', 'O']"
28, p00/d3351,Tom,male.n.02,"['Tom', ""'s"", 'eyes', 'are']","['tom', ""'s"", 'eye', 'be']","['PER', 'HAS', 'CON', 'NOW']","['male.n.02', 'O', 'eye.n.01', 'O']"
29, p00/d3351,eyes,eye.n.01,"['Tom', ""'s"", 'eyes', 'are', 'red', ',']","['tom', ""'s"", 'eye', 'be', 'red', ',']","['PER', 'HAS', 'CON', 'NOW', 'COL', 'NIL']","['male.n.02', 'O', 'eye.n.01', 'O', 'red.a.01', 'O']"
30, p00/d3351,red,red.a.01,"[""'s"", 'eyes', 'are', 'red', ',', 'and', 'he']","[""'s"", 'eye', 'be', 'red', ',', 'and', 'male']","['HAS', 'CON', 'NOW', 'COL', 'NIL', 'COO', 'PRO']","['O', 'eye.n.01', 'O', 'red.a.01', 'O', 'O', 'male.n.02']"
31, p00/d3351,he,male.n.02,"['red', ',', 'and', 'he', 'looks', 'very', 'tired']","['red', ',', 'and', 'male', 'look', 'very', 'tired']","['COL', 'NIL', 'COO', 'PRO', 'ENS', 'INT', 'IST']","['red.a.01', 'O', 'O', 'male.n.02', 'look.v.02', 'very.r.01', 'tired.a.01']"
32, p00/d3351,looks,look.v.02,"[',', 'and', 'he', 'looks', 'very', 'tired', '.']","[',', 'and', 'male', 'look', 'very', 'tired', '.']","['NIL', 'COO', 'PRO', 'ENS', 'INT', 'IST', 'NIL']","['O', 'O', 'male.n.02', 'look.v.02', 'very.r.01', 'tired.a.01', 'O']"
33, p00/d3351,very,very.r.01,"['and', 'he', 'looks', 'very', 'tired', '.']","['and', 'male', 'look', 'very', 'tired', '.']","['COO', 'PRO', 'ENS', 'INT', 'IST', 'NIL']","['O', 'male.n.02', 'look.v.02', 'very.r.01', 'tired.a.01', 'O']"
34, p00/d3351,tired,tired.a.01,"['he', 'looks', 'very', 'tired', '.']","['male', 'look', 'very', 'tired', '.']","['PRO', 'ENS', 'INT', 'IST', 'NIL']","['male.n.02', 'look.v.02', 'very.r.01', 'tired.a.01', 'O']"
35, p00/d1971,Tom,male.n.02,"['Tom', 'is', 'grinning', '.']","['tom', 'be', 'grin', '.']","['PER', 'NOW', 'EXG', 'NIL']","['male.n.02', 'O', 'grin.v.01', 'O']"
36, p00/d1971,grinning,grin.v.01,"['Tom', 'is', 'grinning', '.']","['tom', 'be', 'grin', '.']","['PER', 'NOW', 'EXG', 'NIL']","['male.n.02', 'O', 'grin.v.01', 'O']"
37, p30/d2063,people,person.n.01,"['Over', 'three~thousand', 'people', 'attended', 'the', 'concert']","['over', '3000', 'person', 'attend', 'the', 'concert']","['MOR', 'QUC', 'CON', 'EPS', 'DEF', 'CON']","['O', 'O', 'person.n.01', 'attend.v.01', 'O', 'concert.n.01']"
38, p30/d2063,attended,attend.v.01,"['Over', 'three~thousand', 'people', 'attended', 'the', 'concert', '.']","['over', '3000', 'person', 'attend', 'the', 'concert', '.']","['MOR', 'QUC', 'CON', 'EPS', 'DEF', 'CON', 'NIL']","['O', 'O', 'person.n.01', 'attend.v.01', 'O', 'concert.n.01', 'O']"
39, p30/d2063,concert,concert.n.01,"['people', 'attended', 'the', 'concert', '.']","['person', 'attend', 'the', 'concert', '.']","['CON', 'EPS', 'DEF', 'CON', 'NIL']","['person.n.01', 'attend.v.01', 'O', 'concert.n.01', 'O']"
40, p00/d3506,He,male.n.02,"['He', ""'s"", 'a', 'terrible']","['male', 'be', 'a', 'terrible']","['PRO', 'ENS', 'DIS', 'IST']","['male.n.02', 'be.v.01', 'O', 'terrible.a.02']"
41, p00/d3506,'s,be.v.01,"['He', ""'s"", 'a', 'terrible', 'driver']","['male', 'be', 'a', 'terrible', 'driver']","['PRO', 'ENS', 'DIS', 'IST', 'ROL']","['male.n.02', 'be.v.01', 'O', 'terrible.a.02', 'driver.n.01']"
42, p00/d3506,terrible,terrible.a.02,"['He', ""'s"", 'a', 'terrible', 'driver', '.']","['male', 'be', 'a', 'terrible', 'driver', '.']","['PRO', 'ENS', 'DIS', 'IST', 'ROL', 'NIL']","['male.n.02', 'be.v.01', 'O', 'terrible.a.02', 'driver.n.01', 'O']"
43, p00/d3506,driver,driver.n.01,"[""'s"", 'a', 'terrible', 'driver', '.']","['be', 'a', 'terrible', 'driver', '.']","['ENS', 'DIS', 'IST', 'ROL', 'NIL']","['be.v.01', 'O', 'terrible.a.02', 'driver.n.01', 'O']"
44, p00/d2017,She,female.n.02,"['She', 'graduated', 'from', 'Kobe~University']","['female', 'graduate', 'from', 'kobe~university']","['PRO', 'EPS', 'REL', 'ORG']","['female.n.02', 'graduate.v.01', 'O', 'university.n.03']"
45, p00/d2017,graduated,graduate.v.01,"['She', 'graduated', 'from', 'Kobe~University', '.']","['female', 'graduate', 'from', 'kobe~university', '.']","['PRO', 'EPS', 'REL', 'ORG', 'NIL']","['female.n.02', 'graduate.v.01', 'O', 'university.n.03', 'O']"
46, p00/d2017,Kobe~University,university.n.03,"['She', 'graduated', 'from', 'Kobe~University', '.']","['female', 'graduate', 'from', 'kobe~university', '.']","['PRO', 'EPS', 'REL', 'ORG', 'NIL']","['female.n.02', 'graduate.v.01', 'O', 'university.n.03', 'O']"
47, p10/d0854,postman,postman.n.01,"['The', 'postman', 'was', 'bitten', 'by']","['the', 'postman', 'be', 'bite', 'by']","['DEF', 'ROL', 'PST', 'EXS', 'REL']","['O', 'postman.n.01', 'O', 'bite.v.01', 'O']"
48, p10/d0854,bitten,bite.v.01,"['The', 'postman', 'was', 'bitten', 'by', 'that', 'dog']","['the', 'postman', 'be', 'bite', 'by', 'that', 'dog']","['DEF', 'ROL', 'PST', 'EXS', 'REL', 'DST', 'CON']","['O', 'postman.n.01', 'O', 'bite.v.01', 'O', 'O', 'dog.n.01']"
49, p10/d0854,dog,dog.n.01,"['bitten', 'by', 'that', 'dog', '.']","['bite', 'by', 'that', 'dog', '.']","['EXS', 'REL', 'DST', 'CON', 'NIL']","['bite.v.01', 'O', 'O', 'dog.n.01', 'O']"
50, p10/d2719,break,break_up.v.02,"['We', 'should', 'break', 'up', '.']","['speaker', 'should', 'break~up', 'up', '.']","['PRO', 'NEC', 'EXS', 'REL', 'NIL']","['O', 'O', 'break_up.v.02', 'O', 'O']"
51, p00/d1988,been,be.v.03,"['I', ""'ve"", 'never', 'been', 'to', 'Paris', '.']","['speaker', 'have', 'time', 'be', 'to', 'paris', '.']","['PRO', 'NOW', 'NOT', 'EXT', 'REL', 'GPE', 'NIL']","['O', 'O', 'O', 'be.v.03', 'O', 'city.n.01', 'O']"
52, p00/d1988,Paris,city.n.01,"['never', 'been', 'to', 'Paris', '.']","['time', 'be', 'to', 'paris', '.']","['NOT', 'EXT', 'REL', 'GPE', 'NIL']","['O', 'be.v.03', 'O', 'city.n.01', 'O']"
53, p10/d1873,She,female.n.02,"['She', 'idolized', 'him', '.']","['female', 'idolize', 'male', '.']","['PRO', 'EPS', 'PRO', 'NIL']","['female.n.02', 'idolize.v.01', 'male.n.02', 'O']"
54, p10/d1873,idolized,idolize.v.01,"['She', 'idolized', 'him', '.']","['female', 'idolize', 'male', '.']","['PRO', 'EPS', 'PRO', 'NIL']","['female.n.02', 'idolize.v.01', 'male.n.02', 'O']"
55, p10/d1873,him,male.n.02,"['She', 'idolized', 'him', '.']","['female', 'idolize', 'male', '.']","['PRO', 'EPS', 'PRO', 'NIL']","['female.n.02', 'idolize.v.01', 'male.n.02', 'O']"
56, p20/d2424,Tom,male.n.02,"['Tom', 'printed', 'out', 'the']","['tom', 'print', 'out', 'the']","['PER', 'EPS', 'REL', 'DEF']","['male.n.02', 'print.v.03', 'O', 'O']"
57, p20/d2424,printed,print.v.03,"['Tom', 'printed', 'out', 'the', 'page']","['tom', 'print', 'out', 'the', 'page']","['PER', 'EPS', 'REL', 'DEF', 'CON']","['male.n.02', 'print.v.03', 'O', 'O', 'page.n.01']"
58, p20/d2424,page,page.n.01,"['printed', 'out', 'the', 'page', '.']","['print', 'out', 'the', 'page', '.']","['EPS', 'REL', 'DEF', 'CON', 'NIL']","['print.v.03', 'O', 'O', 'page.n.01', 'O']"
59, p00/d2318,Tom,male.n.02,"['Tom', 'is', 'drowning', '!']","['tom', 'be', 'drown', '!']","['PER', 'NOW', 'EXG', 'EMP']","['male.n.02', 'O', 'drown.v.03', 'O']"
60, p00/d2318,drowning,drown.v.03,"['Tom', 'is', 'drowning', '!']","['tom', 'be', 'drown', '!']","['PER', 'NOW', 'EXG', 'EMP']","['male.n.02', 'O', 'drown.v.03', 'O']"
61, p20/d2108,This,entity.n.01,"['This', 'is', 'a', 'message']","['entity', 'be', 'a', 'message']","['PRX', 'ENS', 'DIS', 'CON']","['entity.n.01', 'be.v.01', 'O', 'message.n.01']"
62, p20/d2108,is,be.v.01,"['This', 'is', 'a', 'message', 'for']","['entity', 'be', 'a', 'message', 'for']","['PRX', 'ENS', 'DIS', 'CON', 'REL']","['entity.n.01', 'be.v.01', 'O', 'message.n.01', 'O']"
63, p20/d2108,message,message.n.01,"['This', 'is', 'a', 'message', 'for', 'them', '.']","['entity', 'be', 'a', 'message', 'for', 'person', '.']","['PRX', 'ENS', 'DIS', 'CON', 'REL', 'PRO', 'NIL']","['entity.n.01', 'be.v.01', 'O', 'message.n.01', 'O', 'person.n.01', 'O']"
64, p20/d2108,them,person.n.01,"['a', 'message', 'for', 'them', '.']","['a', 'message', 'for', 'person', '.']","['DIS', 'CON', 'REL', 'PRO', 'NIL']","['O', 'message.n.01', 'O', 'person.n.01', 'O']"
65, p00/d1565,workaholic,workaholic.n.01,"['You', ""'re"", 'a', 'workaholic', '.']","['hearer', 'be', 'a', 'workaholic', '.']","['PRO', 'NOW', 'DIS', 'ROL', 'NIL']","['O', 'O', 'O', 'workaholic.n.01', 'O']"
66, p00/d2759,He,male.n.02,"['He', 'jumped', 'into', 'the']","['male', 'jump', 'into', 'the']","['PRO', 'EPS', 'REL', 'DEF']","['male.n.02', 'jump.v.01', 'O', 'O']"
67, p00/d2759,jumped,jump.v.01,"['He', 'jumped', 'into', 'the', 'train']","['male', 'jump', 'into', 'the', 'train']","['PRO', 'EPS', 'REL', 'DEF', 'CON']","['male.n.02', 'jump.v.01', 'O', 'O', 'train.n.01']"
68, p00/d2759,train,train.n.01,"['jumped', 'into', 'the', 'train', '.']","['jump', 'into', 'the', 'train', '.']","['EPS', 'REL', 'DEF', 'CON', 'NIL']","['jump.v.01', 'O', 'O', 'train.n.01', 'O']"
69, p00/d3091,Tom,male.n.02,"['Tom', 'is', 'extremely', 'fit']","['tom', 'be', 'extremely', 'fit']","['PER', 'NOW', 'INT', 'IST']","['male.n.02', 'O', 'extremely.r.01', 'fit.a.03']"
70, p00/d3091,extremely,extremely.r.01,"['Tom', 'is', 'extremely', 'fit', '.']","['tom', 'be', 'extremely', 'fit', '.']","['PER', 'NOW', 'INT', 'IST', 'NIL']","['male.n.02', 'O', 'extremely.r.01', 'fit.a.03', 'O']"
71, p00/d3091,fit,fit.a.03,"['Tom', 'is', 'extremely', 'fit', '.']","['tom', 'be', 'extremely', 'fit', '.']","['PER', 'NOW', 'INT', 'IST', 'NIL']","['male.n.02', 'O', 'extremely.r.01', 'fit.a.03', 'O']"
72, p10/d0829,Prime~Minister,prime_minister.n.01,"['The', 'Prime~Minister', 'has', 'resigned', '.']","['the', 'prime~minister', 'have', 'resign', '.']","['DEF', 'ROL', 'NOW', 'EXT', 'NIL']","['O', 'prime_minister.n.01', 'O', 'resign.v.02', 'O']"
73, p10/d0829,resigned,resign.v.02,"['The', 'Prime~Minister', 'has', 'resigned', '.']","['the', 'prime~minister', 'have', 'resign', '.']","['DEF', 'ROL', 'NOW', 'EXT', 'NIL']","['O', 'prime_minister.n.01', 'O', 'resign.v.02', 'O']"
74, p10/d3475,Read,read.v.01,"['Read', 'this', '.']","['read', 'entity', '.']","['EXS', 'PRX', 'NIL']","['read.v.01', 'entity.n.01', 'O']"
75, p10/d3475,this,entity.n.01,"['Read', 'this', '.']","['read', 'entity', '.']","['EXS', 'PRX', 'NIL']","['read.v.01', 'entity.n.01', 'O']"
76, p00/d1682,heavy,heavy.a.01,"['How', 'heavy', 'you', 'are', '!']","['how', 'heavy', 'hearer', 'be', '!']","['EMP', 'DEG', 'PRO', 'NOW', 'EMP']","['O', 'heavy.a.01', 'O', 'O', 'O']"
77, p20/d2128,car,car.n.01,"['The', 'car', 'bumped', 'the', 'tree']","['the', 'car', 'bump', 'the', 'tree']","['DEF', 'CON', 'EPS', 'DEF', 'CON']","['O', 'car.n.01', 'bump.v.01', 'O', 'tree.n.01']"
78, p20/d2128,bumped,bump.v.01,"['The', 'car', 'bumped', 'the', 'tree', '.']","['the', 'car', 'bump', 'the', 'tree', '.']","['DEF', 'CON', 'EPS', 'DEF', 'CON', 'NIL']","['O', 'car.n.01', 'bump.v.01', 'O', 'tree.n.01', 'O']"
79, p20/d2128,tree,tree.n.01,"['car', 'bumped', 'the', 'tree', '.']","['car', 'bump', 'the', 'tree', '.']","['CON', 'EPS', 'DEF', 'CON', 'NIL']","['car.n.01', 'bump.v.01', 'O', 'tree.n.01', 'O']"
80, p30/d1948,waiting,wait.v.01,"['I', ""'m"", 'waiting', 'for', 'her', 'to']","['speaker', 'be', 'wait', 'for', 'female', 'to', 'female']","['PRO', 'NOW', 'EXG', 'REL', 'PRO', 'NIL', 'HAS']","['O', 'O', 'wait.v.01', 'O', 'female.n.02', 'O', 'female.n.02']"
81, p30/d1948,her,female.n.02,"[""'m"", 'waiting', 'for', 'her', 'to', 'climb', 'into']","['be', 'wait', 'for', 'female', 'to', 'climb', 'into', 'female']","['NOW', 'EXG', 'REL', 'PRO', 'NIL', 'EXS', 'REL', 'HAS']","['O', 'wait.v.01', 'O', 'female.n.02', 'O', 'climb.v.02', 'O', 'female.n.02']"
82, p30/d1948,climb,climb.v.02,"['for', 'her', 'to', 'climb', 'into', 'her', 'car']","['for', 'female', 'to', 'climb', 'into', 'female', 'car']","['REL', 'PRO', 'NIL', 'EXS', 'REL', 'HAS', 'CON']","['O', 'female.n.02', 'O', 'climb.v.02', 'O', 'female.n.02', 'car.n.01']"
83, p30/d1948,her,female.n.02,"['to', 'climb', 'into', 'her', 'car', '.']","['female', 'to', 'climb', 'into', 'female', 'car', '.']","['PRO', 'NIL', 'EXS', 'REL', 'HAS', 'CON', 'NIL']","['female.n.02', 'O', 'climb.v.02', 'O', 'female.n.02', 'car.n.01', 'O']"
84, p30/d1948,car,car.n.01,"['climb', 'into', 'her', 'car', '.']","['female', 'climb', 'into', 'female', 'car', '.']","['PRO', 'EXS', 'REL', 'HAS', 'CON', 'NIL']","['female.n.02', 'climb.v.02', 'O', 'female.n.02', 'car.n.01', 'O']"
85, p30/d2729,Tom,male.n.02,"['Tom', 'knocked', 'on', 'the']","['tom', 'knock', 'on', 'the']","['PER', 'EPS', 'REL', 'DEF']","['male.n.02', 'knock.v.02', 'O', 'O']"
86, p30/d2729,knocked,knock.v.02,"['Tom', 'knocked', 'on', 'the', 'door']","['tom', 'knock', 'on', 'the', 'door']","['PER', 'EPS', 'REL', 'DEF', 'CON']","['male.n.02', 'knock.v.02', 'O', 'O', 'door.n.01']"
87, p30/d2729,door,door.n.01,"['knocked', 'on', 'the', 'door', '.']","['knock', 'on', 'the', 'door', '.']","['EPS', 'REL', 'DEF', 'CON', 'NIL']","['knock.v.02', 'O', 'O', 'door.n.01', 'O']"
88, p10/d3211,He,male.n.02,"['He', 'disappeared', 'again', '.']","['male', 'disappear', 'again', '.']","['PRO', 'EPS', 'ALT', 'NIL']","['male.n.02', 'disappear.v.01', 'O', 'O']"
89, p10/d3211,disappeared,disappear.v.01,"['He', 'disappeared', 'again', '.']","['male', 'disappear', 'again', '.']","['PRO', 'EPS', 'ALT', 'NIL']","['male.n.02', 'disappear.v.01', 'O', 'O']"
90, p30/d2915,Tom,male.n.02,"['Tom', ""'s"", 'hair', 'is']","['tom', ""'s"", 'hair', 'be']","['PER', 'HAS', 'CON', 'NOW']","['male.n.02', 'O', 'hair.n.01', 'O']"
91, p30/d2915,hair,hair.n.01,"['Tom', ""'s"", 'hair', 'is', 'chestnut~brown', '.']","['tom', ""'s"", 'hair', 'be', 'chestnut', '.']","['PER', 'HAS', 'CON', 'NOW', 'COL', 'NIL']","['male.n.02', 'O', 'hair.n.01', 'O', 'chestnut.a.01', 'O']"
92, p30/d2915,chestnut~brown,chestnut.a.01,"[""'s"", 'hair', 'is', 'chestnut~brown', '.']","[""'s"", 'hair', 'be', 'chestnut', '.']","['HAS', 'CON', 'NOW', 'COL', 'NIL']","['O', 'hair.n.01', 'O', 'chestnut.a.01', 'O']"
93, p10/d3198,This,entity.n.01,"['This', 'disturbs', 'him', '.']","['entity', 'disturb', 'male', '.']","['PRX', 'ENS', 'PRO', 'NIL']","['entity.n.01', 'disturb.v.01', 'male.n.02', 'O']"
94, p10/d3198,disturbs,disturb.v.01,"['This', 'disturbs', 'him', '.']","['entity', 'disturb', 'male', '.']","['PRX', 'ENS', 'PRO', 'NIL']","['entity.n.01', 'disturb.v.01', 'male.n.02', 'O']"
95, p10/d3198,him,male.n.02,"['This', 'disturbs', 'him', '.']","['entity', 'disturb', 'male', '.']","['PRX', 'ENS', 'PRO', 'NIL']","['entity.n.01', 'disturb.v.01', 'male.n.02', 'O']"
96, p00/d3253,afraid,afraid.a.01,"['I', 'was', 'afraid', '.']","['speaker', 'be', 'afraid', '.']","['PRO', 'PST', 'IST', 'NIL']","['O', 'O', 'afraid.a.01', 'O']"
97, p10/d1904,forgot,forget.v.02,"['I', 'forgot', 'the', 'password', '.']","['speaker', 'forget', 'the', 'password', '.']","['PRO', 'EPS', 'DEF', 'CON', 'NIL']","['O', 'forget.v.02', 'O', 'password.n.01', 'O']"
98, p10/d1904,password,password.n.01,"['I', 'forgot', 'the', 'password', '.']","['speaker', 'forget', 'the', 'password', '.']","['PRO', 'EPS', 'DEF', 'CON', 'NIL']","['O', 'forget.v.02', 'O', 'password.n.01', 'O']"
99, p10/d2970,young,young.a.01,"['The', 'young', 'boy', 'helped', 'the']","['the', 'young', 'boy', 'help', 'the']","['DEF', 'DEG', 'CON', 'EPS', 'DEF']","['O', 'young.a.01', 'boy.n.01', 'help.v.01', 'O']"
100, p10/d2970,boy,boy.n.01,"['The', 'young', 'boy', 'helped', 'the', 'old']","['the', 'young', 'boy', 'help', 'the', 'old']","['DEF', 'DEG', 'CON', 'EPS', 'DEF', 'DEG']","['O', 'young.a.01', 'boy.n.01', 'help.v.01', 'O', 'old.a.01']"
101, p10/d2970,helped,help.v.01,"['The', 'young', 'boy', 'helped', 'the', 'old', 'woman']","['the', 'young', 'boy', 'help', 'the', 'old', 'woman']","['DEF', 'DEG', 'CON', 'EPS', 'DEF', 'DEG', 'CON']","['O', 'young.a.01', 'boy.n.01', 'help.v.01', 'O', 'old.a.01', 'woman.n.01']"
102, p10/d2970,old,old.a.01,"['boy', 'helped', 'the', 'old', 'woman', '.']","['boy', 'help', 'the', 'old', 'woman', '.']","['CON', 'EPS', 'DEF', 'DEG', 'CON', 'NIL']","['boy.n.01', 'help.v.01', 'O', 'old.a.01', 'woman.n.01', 'O']"
103, p10/d2970,woman,woman.n.01,"['helped', 'the', 'old', 'woman', '.']","['help', 'the', 'old', 'woman', '.']","['EPS', 'DEF', 'DEG', 'CON', 'NIL']","['help.v.01', 'O', 'old.a.01', 'woman.n.01', 'O']"
104, p00/d2046,hope,hope.v.01,"['I', 'hope', 'Tom', 'agrees', '.']","['speaker', 'hope', 'tom', 'agree', '.']","['PRO', 'ENS', 'PER', 'ENS', 'NIL']","['O', 'hope.v.01', 'male.n.02', 'agree.v.01', 'O']"
105, p00/d2046,Tom,male.n.02,"['I', 'hope', 'Tom', 'agrees', '.']","['speaker', 'hope', 'tom', 'agree', '.']","['PRO', 'ENS', 'PER', 'ENS', 'NIL']","['O', 'hope.v.01', 'male.n.02', 'agree.v.01', 'O']"
106, p00/d2046,agrees,agree.v.01,"['I', 'hope', 'Tom', 'agrees', '.']","['speaker', 'hope', 'tom', 'agree', '.']","['PRO', 'ENS', 'PER', 'ENS', 'NIL']","['O', 'hope.v.01', 'male.n.02', 'agree.v.01', 'O']"
107, p00/d1712,Tom,male.n.02,"['Tom', 'and', 'Mary', 'detest']","['tom', 'and', 'mary', 'detest']","['PER', 'GRP', 'PER', 'ENS']","['male.n.02', 'O', 'female.n.02', 'detest.v.01']"
