,sentence,word,sense,context,sym_context,sem_context,sns_context
28, p00/d3351,Tom,male.n.02,"['Tom', ""'s""]","['tom', ""'s""]","['PER', 'HAS']","['male.n.02', 'O']"
29, p00/d3351,eyes,eye.n.01,"[""'s"", 'eyes', 'are']","[""'s"", 'eye', 'be']","['HAS', 'CON', 'NOW']","['O', 'eye.n.01', 'O']"
30, p00/d3351,red,red.a.01,"['are', 'red', ',']","['be', 'red', ',']","['NOW', 'COL', 'NIL']","['O', 'red.a.01', 'O']"
31, p00/d3351,he,male.n.02,"['and', 'he', 'looks']","['and', 'male', 'look']","['COO', 'PRO', 'ENS']","['O', 'male.n.02', 'look.v.02']"
32, p00/d3351,looks,look.v.02,"['he', 'looks', 'very']","['male', 'look', 'very']","['PRO', 'ENS', 'INT']","['male.n.02', 'look.v.02', 'very.r.01']"
33, p00/d3351,very,very.r.01,"['looks', 'very', 'tired']","['look', 'very', 'tired']","['ENS', 'INT', 'IST']","['look.v.02', 'very.r.01', 'tired.a.01']"
34, p00/d3351,tired,tired.a.01,"['very', 'tired', '.']","['very', 'tired', '.']","['INT', 'IST', 'NIL']","['very.r.01', 'tired.a.01', 'O']"
35, p00/d1971,Tom,male.n.02,"['Tom', 'is']","['tom', 'be']","['PER', 'NOW']","['male.n.02', 'O']"
36, p00/d1971,grinning,grin.v.01,"['is', 'grinning', '.']","['be', 'grin', '.']","['NOW', 'EXG', 'NIL']","['O', 'grin.v.01', 'O']"
37, p30/d2063,people,person.n.01,"['three~thousand', 'people', 'attended']","['3000', 'person', 'attend']","['QUC', 'CON', 'EPS']","['O', 'person.n.01', 'attend.v.01']"
38, p30/d2063,attended,attend.v.01,"['people', 'attended', 'the']","['person', 'attend', 'the']","['CON', 'EPS', 'DEF']","['person.n.01', 'attend.v.01', 'O']"
39, p30/d2063,concert,concert.n.01,"['the', 'concert', '.']","['the', 'concert', '.']","['DEF', 'CON', 'NIL']","['O', 'concert.n.01', 'O']"
40, p00/d3506,He,male.n.02,"['He', ""'s""]","['male', 'be']","['PRO', 'ENS']","['male.n.02', 'be.v.01']"
41, p00/d3506,'s,be.v.01,"['He', ""'s"", 'a']","['male', 'be', 'a']","['PRO', 'ENS', 'DIS']","['male.n.02', 'be.v.01', 'O']"
42, p00/d3506,terrible,terrible.a.02,"['a', 'terrible', 'driver']","['a', 'terrible', 'driver']","['DIS', 'IST', 'ROL']","['O', 'terrible.a.02', 'driver.n.01']"
43, p00/d3506,driver,driver.n.01,"['terrible', 'driver', '.']","['terrible', 'driver', '.']","['IST', 'ROL', 'NIL']","['terrible.a.02', 'driver.n.01', 'O']"
44, p00/d2017,She,female.n.02,"['She', 'graduated']","['female', 'graduate']","['PRO', 'EPS']","['female.n.02', 'graduate.v.01']"
45, p00/d2017,graduated,graduate.v.01,"['She', 'graduated', 'from']","['female', 'graduate', 'from']","['PRO', 'EPS', 'REL']","['female.n.02', 'graduate.v.01', 'O']"
46, p00/d2017,Kobe~University,university.n.03,"['from', 'Kobe~University', '.']","['from', 'kobe~university', '.']","['REL', 'ORG', 'NIL']","['O', 'university.n.03', 'O']"
47, p10/d0854,postman,postman.n.01,"['The', 'postman', 'was']","['the', 'postman', 'be']","['DEF', 'ROL', 'PST']","['O', 'postman.n.01', 'O']"
48, p10/d0854,bitten,bite.v.01,"['was', 'bitten', 'by']","['be', 'bite', 'by']","['PST', 'EXS', 'REL']","['O', 'bite.v.01', 'O']"
49, p10/d0854,dog,dog.n.01,"['that', 'dog', '.']","['that', 'dog', '.']","['DST', 'CON', 'NIL']","['O', 'dog.n.01', 'O']"
50, p10/d2719,break,break_up.v.02,"['should', 'break', 'up']","['should', 'break~up', 'up']","['NEC', 'EXS', 'REL']","['O', 'break_up.v.02', 'O']"
51, p00/d1988,been,be.v.03,"['never', 'been', 'to']","['time', 'be', 'to']","['NOT', 'EXT', 'REL']","['O', 'be.v.03', 'O']"
52, p00/d1988,Paris,city.n.01,"['to', 'Paris', '.']","['to', 'paris', '.']","['REL', 'GPE', 'NIL']","['O', 'city.n.01', 'O']"
53, p10/d1873,She,female.n.02,"['She', 'idolized']","['female', 'idolize']","['PRO', 'EPS']","['female.n.02', 'idolize.v.01']"
54, p10/d1873,idolized,idolize.v.01,"['She', 'idolized', 'him']","['female', 'idolize', 'male']","['PRO', 'EPS', 'PRO']","['female.n.02', 'idolize.v.01', 'male.n.02']"
55, p10/d1873,him,male.n.02,"['idolized', 'him', '.']","['idolize', 'male', '.']","['EPS', 'PRO', 'NIL']","['idolize.v.01', 'male.n.02', 'O']"
56, p20/d2424,Tom,male.n.02,"['Tom', 'printed']","['tom', 'print']","['PER', 'EPS']","['male.n.02', 'print.v.03']"
57, p20/d2424,printed,print.v.03,"['Tom', 'printed', 'out']","['tom', 'print', 'out']","['PER', 'EPS', 'REL']","['male.n.02', 'print.v.03', 'O']"
58, p20/d2424,page,page.n.01,"['the', 'page', '.']","['the', 'page', '.']","['DEF', 'CON', 'NIL']","['O', 'page.n.01', 'O']"
59, p00/d2318,Tom,male.n.02,"['Tom', 'is']","['tom', 'be']","['PER', 'NOW']","['male.n.02', 'O']"
60, p00/d2318,drowning,drown.v.03,"['is', 'drowning', '!']","['be', 'drown', '!']","['NOW', 'EXG', 'EMP']","['O', 'drown.v.03', 'O']"
61, p20/d2108,This,entity.n.01,"['This', 'is']","['entity', 'be']","['PRX', 'ENS']","['entity.n.01', 'be.v.01']"
62, p20/d2108,is,be.v.01,"['This', 'is', 'a']","['entity', 'be', 'a']","['PRX', 'ENS', 'DIS']","['entity.n.01', 'be.v.01', 'O']"
63, p20/d2108,message,message.n.01,"['a', 'message', 'for']","['a', 'message', 'for']","['DIS', 'CON', 'REL']","['O', 'message.n.01', 'O']"
64, p20/d2108,them,person.n.01,"['for', 'them', '.']","['for', 'person', '.']","['REL', 'PRO', 'NIL']","['O', 'person.n.01', 'O']"
65, p00/d1565,workaholic,workaholic.n.01,"['a', 'workaholic', '.']","['a', 'workaholic', '.']","['DIS', 'ROL', 'NIL']","['O', 'workaholic.n.01', 'O']"
66, p00/d2759,He,male.n.02,"['He', 'jumped']","['male', 'jump']","['PRO', 'EPS']","['male.n.02', 'jump.v.01']"
67, p00/d2759,jumped,jump.v.01,"['He', 'jumped', 'into']","['male', 'jump', 'into']","['PRO', 'EPS', 'REL']","['male.n.02', 'jump.v.01', 'O']"
68, p00/d2759,train,train.n.01,"['the', 'train', '.']","['the', 'train', '.']","['DEF', 'CON', 'NIL']","['O', 'train.n.01', 'O']"
69, p00/d3091,Tom,male.n.02,"['Tom', 'is']","['tom', 'be']","['PER', 'NOW']","['male.n.02', 'O']"
70, p00/d3091,extremely,extremely.r.01,"['is', 'extremely', 'fit']","['be', 'extremely', 'fit']","['NOW', 'INT', 'IST']","['O', 'extremely.r.01', 'fit.a.03']"
71, p00/d3091,fit,fit.a.03,"['extremely', 'fit', '.']","['extremely', 'fit', '.']","['INT', 'IST', 'NIL']","['extremely.r.01', 'fit.a.03', 'O']"
72, p10/d0829,Prime~Minister,prime_minister.n.01,"['The', 'Prime~Minister', 'has']","['the', 'prime~minister', 'have']","['DEF', 'ROL', 'NOW']","['O', 'prime_minister.n.01', 'O']"
73, p10/d0829,resigned,resign.v.02,"['has', 'resigned', '.']","['have', 'resign', '.']","['NOW', 'EXT', 'NIL']","['O', 'resign.v.02', 'O']"
74, p10/d3475,Read,read.v.01,"['Read', 'this']","['read', 'entity']","['EXS', 'PRX']","['read.v.01', 'entity.n.01']"
75, p10/d3475,this,entity.n.01,"['Read', 'this', '.']","['read', 'entity', '.']","['EXS', 'PRX', 'NIL']","['read.v.01', 'entity.n.01', 'O']"
76, p00/d1682,heavy,heavy.a.01,"['How', 'heavy', 'you']","['how', 'heavy', 'hearer']","['EMP', 'DEG', 'PRO']","['O', 'heavy.a.01', 'O']"
77, p20/d2128,car,car.n.01,"['The', 'car', 'bumped']","['the', 'car', 'bump']","['DEF', 'CON', 'EPS']","['O', 'car.n.01', 'bump.v.01']"
78, p20/d2128,bumped,bump.v.01,"['car', 'bumped', 'the']","['car', 'bump', 'the']","['CON', 'EPS', 'DEF']","['car.n.01', 'bump.v.01', 'O']"
79, p20/d2128,tree,tree.n.01,"['the', 'tree', '.']","['the', 'tree', '.']","['DEF', 'CON', 'NIL']","['O', 'tree.n.01', 'O']"
80, p30/d1948,waiting,wait.v.01,"[""'m"", 'waiting', 'for']","['be', 'wait', 'for']","['NOW', 'EXG', 'REL']","['O', 'wait.v.01', 'O']"
81, p30/d1948,her,female.n.02,"['for', 'her', 'to']","['for', 'female', 'to', 'female']","['REL', 'PRO', 'NIL', 'HAS']","['O', 'female.n.02', 'O', 'female.n.02']"
82, p30/d1948,climb,climb.v.02,"['to', 'climb', 'into']","['to', 'climb', 'into']","['NIL', 'EXS', 'REL']","['O', 'climb.v.02', 'O']"
83, p30/d1948,her,female.n.02,"['into', 'her', 'car']","['female', 'into', 'female', 'car']","['PRO', 'REL', 'HAS', 'CON']","['female.n.02', 'O', 'female.n.02', 'car.n.01']"
84, p30/d1948,car,car.n.01,"['her', 'car', '.']","['female', 'female', 'car', '.']","['PRO', 'HAS', 'CON', 'NIL']","['female.n.02', 'female.n.02', 'car.n.01', 'O']"
85, p30/d2729,Tom,male.n.02,"['Tom', 'knocked']","['tom', 'knock']","['PER', 'EPS']","['male.n.02', 'knock.v.02']"
86, p30/d2729,knocked,knock.v.02,"['Tom', 'knocked', 'on']","['tom', 'knock', 'on']","['PER', 'EPS', 'REL']","['male.n.02', 'knock.v.02', 'O']"
87, p30/d2729,door,door.n.01,"['the', 'door', '.']","['the', 'door', '.']","['DEF', 'CON', 'NIL']","['O', 'door.n.01', 'O']"
88, p10/d3211,He,male.n.02,"['He', 'disappeared']","['male', 'disappear']","['PRO', 'EPS']","['male.n.02', 'disappear.v.01']"
89, p10/d3211,disappeared,disappear.v.01,"['He', 'disappeared', 'again']","['male', 'disappear', 'again']","['PRO', 'EPS', 'ALT']","['male.n.02', 'disappear.v.01', 'O']"
90, p30/d2915,Tom,male.n.02,"['Tom', ""'s""]","['tom', ""'s""]","['PER', 'HAS']","['male.n.02', 'O']"
91, p30/d2915,hair,hair.n.01,"[""'s"", 'hair', 'is']","[""'s"", 'hair', 'be']","['HAS', 'CON', 'NOW']","['O', 'hair.n.01', 'O']"
92, p30/d2915,chestnut~brown,chestnut.a.01,"['is', 'chestnut~brown', '.']","['be', 'chestnut', '.']","['NOW', 'COL', 'NIL']","['O', 'chestnut.a.01', 'O']"
93, p10/d3198,This,entity.n.01,"['This', 'disturbs']","['entity', 'disturb']","['PRX', 'ENS']","['entity.n.01', 'disturb.v.01']"
94, p10/d3198,disturbs,disturb.v.01,"['This', 'disturbs', 'him']","['entity', 'disturb', 'male']","['PRX', 'ENS', 'PRO']","['entity.n.01', 'disturb.v.01', 'male.n.02']"
95, p10/d3198,him,male.n.02,"['disturbs', 'him', '.']","['disturb', 'male', '.']","['ENS', 'PRO', 'NIL']","['disturb.v.01', 'male.n.02', 'O']"
96, p00/d3253,afraid,afraid.a.01,"['was', 'afraid', '.']","['be', 'afraid', '.']","['PST', 'IST', 'NIL']","['O', 'afraid.a.01', 'O']"
97, p10/d1904,forgot,forget.v.02,"['I', 'forgot', 'the']","['speaker', 'forget', 'the']","['PRO', 'EPS', 'DEF']","['O', 'forget.v.02', 'O']"
98, p10/d1904,password,password.n.01,"['the', 'password', '.']","['the', 'password', '.']","['DEF', 'CON', 'NIL']","['O', 'password.n.01', 'O']"
99, p10/d2970,young,young.a.01,"['The', 'young', 'boy']","['the', 'young', 'boy']","['DEF', 'DEG', 'CON']","['O', 'young.a.01', 'boy.n.01']"
100, p10/d2970,boy,boy.n.01,"['young', 'boy', 'helped']","['young', 'boy', 'help']","['DEG', 'CON', 'EPS']","['young.a.01', 'boy.n.01', 'help.v.01']"
101, p10/d2970,helped,help.v.01,"['boy', 'helped', 'the']","['boy', 'help', 'the']","['CON', 'EPS', 'DEF']","['boy.n.01', 'help.v.01', 'O']"
102, p10/d2970,old,old.a.01,"['the', 'old', 'woman']","['the', 'old', 'woman']","['DEF', 'DEG', 'CON']","['O', 'old.a.01', 'woman.n.01']"
103, p10/d2970,woman,woman.n.01,"['old', 'woman', '.']","['old', 'woman', '.']","['DEG', 'CON', 'NIL']","['old.a.01', 'woman.n.01', 'O']"
104, p00/d2046,hope,hope.v.01,"['I', 'hope', 'Tom']","['speaker', 'hope', 'tom']","['PRO', 'ENS', 'PER']","['O', 'hope.v.01', 'male.n.02']"
105, p00/d2046,Tom,male.n.02,"['hope', 'Tom', 'agrees']","['hope', 'tom', 'agree']","['ENS', 'PER', 'ENS']","['hope.v.01', 'male.n.02', 'agree.v.01']"
106, p00/d2046,agrees,agree.v.01,"['Tom', 'agrees', '.']","['tom', 'agree', '.']","['PER', 'ENS', 'NIL']","['male.n.02', 'agree.v.01', 'O']"
107, p00/d1712,Tom,male.n.02,"['Tom', 'and']","['tom', 'and']","['PER', 'GRP']","['male.n.02', 'O']"
108, p00/d1712,Mary,female.n.02,"['and', 'Mary', 'detest']","['and', 'mary', 'detest']","['GRP', 'PER', 'ENS']","['O', 'female.n.02', 'detest.v.01']"
109, p00/d1712,detest,detest.v.01,"['Mary', 'detest', 'each~other']","['mary', 'detest', 'each~other']","['PER', 'ENS', 'REF']","['female.n.02', 'detest.v.01', 'O']"
110, p10/d2267,buy,buy.v.01,"[""'ll"", 'buy', 'him']","['will', 'buy', 'male']","['FUT', 'EXS', 'PRO']","['O', 'buy.v.01', 'male.n.02']"
111, p10/d2267,him,male.n.02,"['buy', 'him', 'a']","['buy', 'male', 'a']","['EXS', 'PRO', 'DIS']","['buy.v.01', 'male.n.02', 'O']"
112, p10/d2267,pencil,pencil.n.01,"['a', 'pencil', '.']","['a', 'pencil', '.']","['DIS', 'CON', 'NIL']","['O', 'pencil.n.01', 'O']"
113, p00/d2114,storm,storm.n.01,"['The', 'storm', 'let']","['the', 'storm', 'let~up']","['DEF', 'CON', 'EPS']","['O', 'storm.n.01', 'let_up.v.01']"
114, p00/d2114,let,let_up.v.01,"['storm', 'let', 'up']","['storm', 'let~up', 'up']","['CON', 'EPS', 'REL']","['storm.n.01', 'let_up.v.01', 'O']"
115, p30/d2987,Tom,male.n.02,"['Tom', 'and']","['tom', 'and']","['PER', 'GRP']","['male.n.02', 'O']"
116, p30/d2987,Mary,female.n.02,"['and', 'Mary', 'went']","['and', 'mary', 'go']","['GRP', 'PER', 'PST']","['O', 'female.n.02', 'O']"
117, p30/d2987,hunting,hunt.v.06,"['went', 'hunting', 'for']","['go', 'hunt', 'for']","['PST', 'EXG', 'REL']","['O', 'hunt.v.06', 'O']"
118, p30/d2987,Easter~eggs,easter_egg.n.01,"['for', 'Easter~eggs', '.']","['for', 'easter~egg', '.']","['REL', 'CON', 'NIL']","['O', 'easter_egg.n.01', 'O']"
119, p00/d1795,needed,need.v.01,"['I', 'needed', 'it']","['speaker', 'need', 'entity']","['PRO', 'EPS', 'PRO']","['O', 'need.v.01', 'entity.n.01']"
120, p00/d1795,it,entity.n.01,"['needed', 'it', '.']","['need', 'entity', '.']","['EPS', 'PRO', 'NIL']","['need.v.01', 'entity.n.01', 'O']"
121, p10/d0714,Reform,reform.n.01,"['Reform', 'allows']","['reform', 'allow']","['CON', 'ENS']","['reform.n.01', 'allow.v.01']"
122, p10/d0714,allows,allow.v.01,"['Reform', 'allows', 'home']","['reform', 'allow', 'home']","['CON', 'ENS', 'CON']","['reform.n.01', 'allow.v.01', 'home.n.02']"
123, p10/d0714,home,home.n.02,"['allows', 'home', 'schooling']","['allow', 'home', 'schooling']","['ENS', 'CON', 'CON']","['allow.v.01', 'home.n.02', 'schooling.n.01']"
124, p10/d0714,schooling,schooling.n.01,"['home', 'schooling', '.']","['home', 'schooling', '.']","['CON', 'CON', 'NIL']","['home.n.02', 'schooling.n.01', 'O']"
125, p10/d1680,Tom,male.n.02,"['Tom', 'rolled']","['tom', 'roll~over']","['PER', 'EPS']","['male.n.02', 'roll_over.v.01']"
126, p10/d1680,rolled,roll_over.v.01,"['Tom', 'rolled', 'over']","['tom', 'roll~over', 'over']","['PER', 'EPS', 'REL']","['male.n.02', 'roll_over.v.01', 'O']"
127, p10/d1680,bed,bed.n.01,"['in', 'bed', '.']","['in', 'bed', '.']","['REL', 'CON', 'NIL']","['O', 'bed.n.01', 'O']"
128, p30/d0839,He,male.n.02,"['He', 'is']","['male', 'be']","['PRO', 'ENS']","['male.n.02', 'be.v.08']"
129, p30/d0839,is,be.v.08,"['He', 'is', 'a']","['male', 'be', 'a']","['PRO', 'ENS', 'DIS']","['male.n.02', 'be.v.08', 'O']"
130, p30/d0839,scientist,scientist.n.01,"['a', 'scientist', '.']","['a', 'scientist', '.']","['DIS', 'ROL', 'NIL']","['O', 'scientist.n.01', 'O']"
131, p10/d2171,One,person.n.01,"['One', 'can']","['person', 'can']","['AND', 'POS']","['person.n.01', 'O']"
132, p10/d2171,communicate,communicate.v.01,"['not', 'communicate', '.']","['not', 'not', 'communicate', '.']","['NOT', 'NOT', 'EXS', 'NIL']","['O', 'O', 'communicate.v.01', 'O']"
133, p20/d1884,lonely,lonely.a.01,"['not', 'lonely', '.']","['not', 'lonely', '.']","['NOT', 'IST', 'NIL']","['O', 'lonely.a.01', 'O']"
134, p00/d0927,Tom,male.n.02,"['Tom', 'used']","['tom', 'use']","['PER', 'EPS']","['male.n.02', 'use.v.01']"
135, p00/d0927,used,use.v.01,"['Tom', 'used', 'a']","['tom', 'use', 'a']","['PER', 'EPS', 'DIS']","['male.n.02', 'use.v.01', 'O']"
136, p00/d0927,toothpick,toothpick.n.01,"['a', 'toothpick', '.']","['a', 'toothpick', '.']","['DIS', 'CON', 'NIL']","['O', 'toothpick.n.01', 'O']"
137, p10/d3276,Push,push.v.02,"['Push', 'the']","['push', 'the']","['EXS', 'DEF']","['push.v.02', 'O']"
138, p10/d3276,button,button.n.07,"['the', 'button', '.']","['the', 'button', '.']","['DEF', 'CON', 'NIL']","['O', 'button.n.07', 'O']"
139, p00/d0895,Where,location.n.01,"['Where', 'are']","['location', 'be']","['QUE', 'ENS']","['location.n.01', 'be.v.03']"
140, p00/d0895,are,be.v.03,"['Where', 'are', 'the']","['location', 'be', 'the']","['QUE', 'ENS', 'DEF']","['location.n.01', 'be.v.03', 'O']"
141, p00/d0895,parking~metres,parking_meter.n.01,"['the', 'parking~metres', '?']","['the', 'parking~meter', '?']","['DEF', 'CON', 'QUE']","['O', 'parking_meter.n.01', 'O']"
142, p10/d2418,It,time.n.08,"['It', ""'s""]","['time', 'be']","['PRO', 'NOW']","['time.n.08', 'O']"
143, p10/d3140,taunting,taunt.v.01,"[""'re"", 'taunting', 'me']","['be', 'taunt', 'speaker']","['NOW', 'EXG', 'PRO']","['O', 'taunt.v.01', 'O']"
144, p00/d0942,want,want.v.01,"[""n't"", 'want', 'pizza']","['not', 'want', 'pizza']","['NOT', 'EXS', 'CON']","['O', 'want.v.01', 'pizza.n.01']"
145, p00/d0942,pizza,pizza.n.01,"['want', 'pizza', '.']","['want', 'pizza', '.', '.']","['EXS', 'CON', 'NIL', 'NIL']","['want.v.01', 'pizza.n.01', 'O', 'O']"
146, p00/d0942,hungry,hungry.a.01,"['not', 'hungry', '.']","['.', 'not', 'hungry', '.']","['NIL', 'NOT', 'IST', 'NIL']","['O', 'O', 'hungry.a.01', 'O']"
147, p10/d0893,Oscar,animal.n.01,"['Oscar', 'was']","['oscar', 'be']","['NTH', 'EPS']","['animal.n.01', 'be.v.02']"
148, p10/d0893,was,be.v.02,"['Oscar', 'was', 'my']","['oscar', 'be', 'speaker']","['NTH', 'EPS', 'HAS']","['animal.n.01', 'be.v.02', 'O']"
149, p10/d0893,mum,mum.n.02,"['my', 'mum', ""'s""]","['speaker', 'mum', ""'s""]","['HAS', 'ROL', 'HAS']","['O', 'mum.n.02', 'O']"
150, p10/d0893,dog,dog.n.01,"[""'s"", 'dog', '.']","[""'s"", 'dog', '.']","['HAS', 'CON', 'NIL']","['O', 'dog.n.01', 'O']"
151, p10/d0802,He,male.n.02,"['He', 'wants']","['male', 'want']","['PRO', 'ENS']","['male.n.02', 'want.v.03']"
152, p10/d0802,wants,want.v.03,"['He', 'wants', 'the']","['male', 'want', 'the']","['PRO', 'ENS', 'DEF']","['male.n.02', 'want.v.03', 'O']"
153, p10/d0802,money,money.n.01,"['the', 'money', '.']","['the', 'money', '.']","['DEF', 'CON', 'NIL']","['O', 'money.n.01', 'O']"
154, p30/d2898,Keeping,keep.v.20,"['Keeping', 'a']","['keep', 'a', 'a']","['EXG', 'DIS', 'DIS']","['keep.v.20', 'O', 'O']"
155, p30/d2898,car,car.n.01,"['a', 'car', 'is']","['a', 'car', 'be', 'a']","['DIS', 'CON', 'ENS', 'DIS']","['O', 'car.n.01', 'be.v.01', 'O']"
156, p30/d2898,is,be.v.01,"['car', 'is', 'a']","['a', 'car', 'be', 'a']","['DIS', 'CON', 'ENS', 'DIS']","['O', 'car.n.01', 'be.v.01', 'O']"
157, p30/d2898,considerable,considerable.a.01,"['a', 'considerable', 'expense']","['a', 'a', 'considerable', 'expense']","['DIS', 'DIS', 'IST', 'CON']","['O', 'O', 'considerable.a.01', 'expense.n.01']"
158, p30/d2898,expense,expense.n.01,"['considerable', 'expense', '.']","['considerable', 'expense', '.']","['IST', 'CON', 'NIL']","['considerable.a.01', 'expense.n.01', 'O']"
159, p30/d3436,father,father.n.01,"['My', 'father', 'died']","['speaker', 'father', 'die']","['HAS', 'ROL', 'EPS']","['O', 'father.n.01', 'die.v.01']"
160, p30/d3436,died,die.v.01,"['father', 'died', 'five']","['father', 'die', '5']","['ROL', 'EPS', 'QUC']","['father.n.01', 'die.v.01', 'O']"
161, p30/d3436,years,year.n.01,"['five', 'years', 'ago']","['5', 'year', 'ago']","['QUC', 'UOM', 'PST']","['O', 'year.n.01', 'O']"
162, p00/d1693,jokes,joke.n.01,"['Your', 'jokes', 'are']","['hearer', 'joke', 'be']","['HAS', 'CON', 'NOW']","['O', 'joke.n.01', 'O']"
163, p00/d1693,funny,funny.a.01,"[""n't"", 'funny', '.']","['not', 'funny', '.']","['NOT', 'IST', 'NIL']","['O', 'funny.a.01', 'O']"
164, p20/d2859,Who,person.n.01,"['Who', ""'s""]","['person', 'be']","['QUE', 'ENS']","['person.n.01', 'be.v.02']"
165, p20/d2859,'s,be.v.02,"['Who', ""'s"", 'your']","['person', 'be', 'hearer']","['QUE', 'ENS', 'HAS']","['person.n.01', 'be.v.02', 'O']"
166, p20/d2859,favorite,favorite.a.02,"['your', 'favorite', 'painter']","['hearer', 'favorite', 'painter']","['HAS', 'TOP', 'ROL']","['O', 'favorite.a.02', 'painter.n.01']"
167, p20/d2859,painter,painter.n.01,"['favorite', 'painter', '?']","['favorite', 'painter', '?']","['TOP', 'ROL', 'QUE']","['favorite.a.02', 'painter.n.01', 'O']"
168, p30/d2999,Everybody,person.n.01,"['Everybody', 'wants']","['person', 'want']","['AND', 'ENS']","['person.n.01', 'want.v.01']"
169, p30/d2999,wants,want.v.01,"['Everybody', 'wants', 'something']","['person', 'want', 'entity']","['AND', 'ENS', 'DIS']","['person.n.01', 'want.v.01', 'entity.n.01']"
