,sentence,word,sym,sem,sns
44, p92/d1901,butterfly,butterfly,CON,butterfly.n.01
45, p92/d1901,landed,land,EPS,land.v.01
46, p92/d1901,on,on,REL,O
47, p92/d1901,the,the,DEF,O
48, p92/d1901,hand,hand,CON,hand.n.01
49, p92/d1901,.,.,NIL,O
50, p52/d1573,Tom,tom,PER,male.n.02
51, p52/d1573,retired,retire,EPS,retire.v.01
52, p52/d1573,in,in,REL,O
53, p52/d1573,2013,2013,YOC,O
54, p52/d1573,.,.,NIL,O
55, p23/d2922,My,speaker,HAS,O
56, p23/d2922,car,car,CON,car.n.01
57, p23/d2922,is,be,NOW,O
58, p23/d2922,equipped,equip,EXS,equip.v.01
59, p23/d2922,with,with,REL,O
60, p23/d2922,a,a,DIS,O
61, p23/d2922,CD~player,cd~player,CON,cd_player.n.01
62, p23/d2922,.,.,NIL,O
63, p24/d0926,They,person,PRO,person.n.01
64, p24/d0926,appointed,appoint,EPS,appoint.v.02
65, p24/d0926,Mr.,mr,ROL,mr.n.01
66, p24/d0926,White,white,PER,male.n.02
67, p24/d0926,as,as,REL,O
68, p24/d0926,manager,manager,CON,manager.n.01
69, p24/d0926,.,.,NIL,O
70, p18/d2532,A,a,DIS,O
71, p18/d2532,large,large,DEG,large.a.01
72, p18/d2532,animal,animal,CON,animal.n.01
73, p18/d2532,fled,flee,EPS,flee.v.01
74, p18/d2532,from,from,REL,O
75, p18/d2532,the,the,DEF,O
76, p18/d2532,zoo,zoo,CON,zoo.n.01
77, p18/d2532,.,.,NIL,O
78, p02/d2775,Our,speaker,HAS,O
79, p02/d2775,team,team,CON,team.n.01
80, p02/d2775,beat,beat,EPS,beat.v.01
81, p02/d2775,the,the,DEF,O
82, p02/d2775,Lions,lions,ORG,team.n.01
83, p02/d2775,3~to~0,3-0,SCO,O
84, p02/d2775,.,.,NIL,O
85, p35/d2086,I,speaker,PRO,O
86, p35/d2086,have,have,ENS,have.v.01
87, p35/d2086,a,a,DIS,O
88, p35/d2086,credit~card,credit~card,CON,credit_card.n.01
89, p35/d2086,.,.,NIL,O
90, p29/d3069,I,speaker,PRO,O
91, p29/d3069,'m,be,NOW,O
92, p29/d3069,not,not,NOT,O
93, p29/d3069,afraid,afraid,IST,afraid.a.01
94, p29/d3069,of,of,REL,O
95, p29/d3069,you,hearer,PRO,O
96, p29/d3069,.,.,NIL,O
97, p84/d2626,Tom,tom,PER,male.n.02
98, p84/d2626,sat,sit~down,EPS,sit_down.v.01
99, p84/d2626,down,down,REL,O
100, p84/d2626,beside,beside,REL,O
101, p84/d2626,her,female,PRO,female.n.02
102, p84/d2626,.,.,NIL,O
103, p35/d2852,Many,+,QUV,O
104, p35/d2852,persons,person,CON,person.n.01
105, p35/d2852,were,be,PST,O
106, p35/d2852,attending,attend,EXG,attend.v.01
107, p35/d2852,the,the,DEF,O
108, p35/d2852,conference,conference,CON,conference.n.01
109, p35/d2852,.,.,NIL,O
110, p47/d2862,Tom,tom,PER,male.n.02
111, p47/d2862,walked,walk,EPS,walk.v.02
112, p47/d2862,Mary,mary,PER,female.n.02
113, p47/d2862,to,to,REL,O
114, p47/d2862,the,the,DEF,O
115, p47/d2862,front~door,front~door,CON,front_door.n.01
116, p47/d2862,.,.,NIL,O
117, p05/d1874,I,speaker,PRO,O
118, p05/d1874,recommended,recommend,EPS,recommend.v.02
119, p05/d1874,Tom,tom,PER,male.n.02
120, p05/d1874,.,.,NIL,O
121, p04/d2015,Tom,tom,PER,male.n.02
122, p04/d2015,has,have,NOW,O
123, p04/d2015,gained,gain,EXT,gain.v.09
124, p04/d2015,thirteen,13,QUC,O
125, p04/d2015,pounds,pound,UOM,pound.n.01
126, p04/d2015,.,.,NIL,O
127, p74/d2441,The,the,DEF,O
128, p74/d2441,climate,climate,CON,climate.n.01
129, p74/d2441,of,of,REL,O
130, p74/d2441,England,england,GPE,country.n.02
131, p74/d2441,is,be,NOW,O
132, p74/d2441,similar,similar,IST,similar.a.01
133, p74/d2441,to,to,REL,O
134, p74/d2441,that,climate,PRO,climate.n.01
135, p74/d2441,of,of,REL,O
136, p74/d2441,Hokkaido,hokkaido,GPE,island.n.01
137, p74/d2441,.,.,NIL,O
138, p44/d2187,He,male,PRO,male.n.02
139, p44/d2187,drives,drive,ENS,drive.v.01
140, p44/d2187,a,a,DIS,O
141, p44/d2187,truck,truck,CON,truck.n.01
142, p44/d2187,.,.,NIL,O
143, p25/d3470,She,female,PRO,female.n.02
144, p25/d3470,lost,lose,EPS,lose.v.05
145, p25/d3470,her,female,HAS,female.n.02
146, p25/d3470,handbag,handbag,CON,handbag.n.01
147, p25/d3470,.,.,NIL,O
148, p22/d1605,I,speaker,PRO,O
149, p22/d1605,bought,buy,EPS,buy.v.01
150, p22/d1605,you,hearer,PRO,O
151, p22/d1605,a,a,DIS,O
152, p22/d1605,kite,kite,CON,kite.n.03
153, p22/d1605,.,.,NIL,O
154, p26/d1585,The,the,DEF,O
155, p26/d1585,truck,truck,CON,truck.n.01
156, p26/d1585,bumped,bump~into,EPS,bump_into.v.01
157, p26/d1585,into,into,REL,O
158, p26/d1585,a,a,DIS,O
159, p26/d1585,car,car,CON,car.n.01
160, p26/d1585,.,.,NIL,O
161, p22/d1865,The,the,DEF,O
162, p22/d1865,kitten,kitten,CON,kitten.n.01
163, p22/d1865,rolled,roll,EPS,roll.v.01
164, p22/d1865,the,the,DEF,O
165, p22/d1865,yarn,yarn,CON,yarn.n.02
166, p22/d1865,across,across,REL,O
167, p22/d1865,the,the,DEF,O
168, p22/d1865,floor,floor,CON,floor.n.01
169, p22/d1865,.,.,NIL,O
170, p19/d3223,I,speaker,PRO,O
171, p19/d3223,got,get,EPS,get.v.09
172, p19/d3223,a,a,DIS,O
173, p19/d3223,D,d,SCO,O
174, p19/d3223,on,on,REL,O
175, p19/d3223,my,speaker,HAS,O
176, p19/d3223,science,science,CON,science.n.01
177, p19/d3223,test,test,CON,test.n.02
178, p19/d3223,.,.,NIL,O
179, p93/d0836,He,male,PRO,male.n.02
180, p93/d0836,took,take,EPS,take.v.16
181, p93/d0836,a,a,DIS,O
182, p93/d0836,picture,picture,CON,picture.n.01
183, p93/d0836,of,of,REL,O
184, p93/d0836,the,the,DEF,O
185, p93/d0836,koala,koala,CON,koala.n.01
186, p93/d0836,.,.,NIL,O
187, p48/d2030,Three,3,QUC,O
188, p48/d2030,times,times,CON,times.n.02
189, p48/d2030,four,4,QUC,O
190, p48/d2030,is,be,EXS,be.v.06
191, p48/d2030,twelve,12,QUC,O
192, p48/d2030,.,.,NIL,O
193, p55/d0764,Charles~de~Gaulle,charles~de~gaulle,PER,male.n.02
194, p55/d0764,died,die,EPS,die.v.01
195, p55/d0764,in,in,REL,O
196, p55/d0764,1970,1970,YOC,O
197, p55/d0764,.,.,NIL,O
198, p83/d2106,The,the,DEF,O
199, p83/d2106,cake,cake,CON,cake.n.03
200, p83/d2106,was,be,PST,O
201, p83/d2106,crawling,crawl,EXG,crawl.v.03
202, p83/d2106,with,with,REL,O
203, p83/d2106,ants,ant,CON,ant.n.01
204, p83/d2106,.,.,NIL,O
205, p03/d3122,I,speaker,PRO,O
206, p03/d3122,was,be,PST,O
207, p03/d3122,talking,talk,EXG,talk.v.01
208, p03/d3122,to,to,REL,O
209, p03/d3122,him,male,PRO,male.n.02
210, p03/d3122,.,.,NIL,O
211, p15/d2740,Maria,maria,PER,female.n.02
212, p15/d2740,spends,spend,ENS,spend.v.02
213, p15/d2740,a,a,DIS,O
214, p15/d2740,lot,+,QUV,O
215, p15/d2740,of,of,REL,O
216, p15/d2740,money,money,CON,money.n.01
217, p15/d2740,on,on,REL,O
218, p15/d2740,clothes,clothes,CON,clothes.n.01
219, p15/d2740,.,.,NIL,O
220, p58/d2069,I,speaker,PRO,O
221, p58/d2069,arrived,arrive,EPS,arrive.v.01
222, p58/d2069,at,at,REL,O
223, p58/d2069,2:30,14:30,CLO,O
224, p58/d2069,.,.,NIL,O
225, p18/d2337,Tom,tom,PER,male.n.02
226, p18/d2337,had,have,EPS,have.v.01
227, p18/d2337,numerous,+,QUV,O
228, p18/d2337,girlfriends,girlfriend,ROL,girlfriend.n.01
229, p18/d2337,.,.,NIL,O
230, p12/d2094,Let,let,FUT,O
231, p12/d2094,'s,speaker,PRO,O
232, p12/d2094,jump,jump,EXS,jump.v.01
233, p12/d2094,into,into,REL,O
234, p12/d2094,the,the,DEF,O
235, p12/d2094,water,water,CON,water.n.02
236, p12/d2094,.,.,NIL,O
237, p25/d1423,Tom,tom,PER,male.n.02
238, p25/d1423,is,be,NOW,O
239, p25/d1423,clearing,clear,EXG,clear.v.24
240, p25/d1423,his,male,HAS,male.n.02
241, p25/d1423,throat,throat,CON,throat.n.01
242, p25/d1423,.,.,NIL,O
243, p38/d2865,I,speaker,PRO,O
244, p38/d2865,am,be,NOW,O
245, p38/d2865,brushing,brush,EXG,brush.v.03
246, p38/d2865,my,speaker,HAS,O
247, p38/d2865,teeth,tooth,CON,tooth.n.01
248, p38/d2865,.,.,NIL,O
249, p14/d2443,They,person,PRO,person.n.01
250, p14/d2443,were,be,PST,O
251, p14/d2443,very,very,INT,very.r.01
252, p14/d2443,kind,kind,IST,kind.a.01
253, p14/d2443,to,to,REL,O
254, p14/d2443,me,speaker,PRO,O
255, p14/d2443,.,.,NIL,O
256, p32/d2799,She,female,PRO,female.n.02
257, p32/d2799,stood,stand~up,EPS,stand_up.v.01
258, p32/d2799,up,up,REL,O
259, p32/d2799,.,.,NIL,O
260, p97/d3034,He,male,PRO,male.n.02
261, p97/d3034,has,have,ENS,have.v.04
262, p97/d3034,four,4,QUC,O
263, p97/d3034,mobile~phones,mobile~phone,CON,mobile_phone.n.01
264, p97/d3034,.,.,NIL,O
265, p33/d1571,Tom,tom,PER,male.n.02
266, p33/d1571,is,be,NOW,O
267, p33/d1571,wiping,wipe,EXG,wipe.v.01
268, p33/d1571,his,male,HAS,male.n.02
269, p33/d1571,nose,nose,CON,nose.n.01
270, p33/d1571,.,.,NIL,O
271, p82/d2142,Tom,tom,PER,male.n.02
272, p82/d2142,said,say,EPS,say.v.01
273, p82/d2142,nothing,entity,NOT,entity.n.01
274, p82/d2142,.,.,NIL,O
275, p24/d2661,I,speaker,PRO,O
276, p24/d2661,felt,feel,EPS,feel.v.03
277, p24/d2661,a,a,DIS,O
278, p24/d2661,sharp,sharp,IST,sharp.a.08
279, p24/d2661,pain,pain,CON,pain.n.01
280, p24/d2661,in,in,REL,O
281, p24/d2661,my,speaker,HAS,O
282, p24/d2661,stomach,stomach,CON,stomach.n.01
283, p24/d2661,all~of~a~sudden,all~of~a~sudden,IST,all_of_a_sudden.r.02
284, p24/d2661,.,.,NIL,O
285, p25/d0761,Swift,swift,PER,male.n.02
286, p25/d0761,died,die,EPS,die.v.01
287, p25/d0761,in,in,REL,O
288, p25/d0761,1745,1745,YOC,O
289, p25/d0761,.,.,NIL,O
290, p58/d1974,The,the,DEF,O
291, p58/d1974,horse,horse,CON,horse.n.01
292, p58/d1974,snorts,snort,ENS,snort.v.02
293, p58/d1974,.,.,NIL,O
294, p04/d1850,You,hearer,PRO,O
295, p04/d1850,'re,be,ENS,be.v.01
296, p04/d1850,not,not,NOT,O
297, p04/d1850,Tom,tom,PER,male.n.02
298, p04/d1850,'s,'s,HAS,O
299, p04/d1850,type,type,CON,type.n.02
300, p04/d1850,.,.,NIL,O
301, p17/d3052,She,female,PRO,female.n.02
302, p17/d3052,ironed,iron,EPS,iron.v.01
303, p17/d3052,a,a,DIS,O
304, p17/d3052,skirt,skirt,CON,skirt.n.01
305, p17/d3052,.,.,NIL,O
306, p07/d1644,He,male,PRO,male.n.02
307, p07/d1644,drove,drive,EPS,drive.v.03
308, p07/d1644,me,speaker,PRO,O
309, p07/d1644,home,home,CON,home.n.01
310, p07/d1644,.,.,NIL,O
311, p04/d1876,How,how,QUE,O
312, p04/d1876,much,?,QUV,O
313, p04/d1876,were,be,EPS,be.v.13
314, p04/d1876,the,the,DEF,O
315, p04/d1876,glasses,glasses,CON,glasses.n.01
316, p04/d1876,?,?,QUE,O
317, p36/d2829,Which,entity,QUE,entity.n.01
318, p36/d2829,car,car,CON,car.n.01
319, p36/d2829,did,do,PST,O
320, p36/d2829,you,hearer,PRO,O
321, p36/d2829,buy,buy,EXS,buy.v.01
322, p36/d2829,?,?,QUE,O
323, p37/d1470,Who,person,QUE,person.n.01
324, p37/d1470,stabbed,stab,EPS,stab.v.01
325, p37/d1470,Tom,tom,PER,male.n.02
326, p37/d1470,?,?,QUE,O
327, p74/d0760,Mabel~Normand,mabel~normand,PER,female.n.02
328, p74/d0760,starred,star,EPS,star.v.02
329, p74/d0760,in,in,REL,O
330, p74/d0760,The~Extra~Girl,the~extra~girl,ART,movie.n.01
331, p74/d0760,.,.,NIL,O
332, p09/d3109,"""","""",NIL,O
333, p09/d3109,Who,person,QUE,person.n.01
334, p09/d3109,is,be,ENS,be.v.08
335, p09/d3109,Norman~Finkelstein,norman~finkelstein,PER,male.n.02
336, p09/d3109,?,?,QUE,O
337, p09/d3109,"""","""",NIL,O
338, p09/d3109,"""","""",NIL,O
339, p09/d3109,He,male,PRO,male.n.02
340, p09/d3109,is,be,ENS,be.v.08
341, p09/d3109,an,an,DIS,O
342, p09/d3109,American,america,GPO,country.n.02
343, p09/d3109,political~scientist,political~scientist,ROL,political_scientist.n.01
344, p09/d3109,.,.,NIL,O
345, p09/d3109,"""","""",NIL,O
346, p14/d1916,All,entity,AND,O
347, p14/d1916,the,the,DEF,O
348, p14/d1916,girls,girl,CON,girl.n.01
349, p14/d1916,in,in,REL,O
350, p14/d1916,my,speaker,HAS,O
351, p14/d1916,class,class,CON,class.n.02
352, p14/d1916,are,be,NOW,O
353, p14/d1916,kind,kind,IST,kind.a.01
354, p14/d1916,.,.,NIL,O
355, p72/d2478,Tom,tom,PER,male.n.02
356, p72/d2478,is,be,NOW,O
357, p72/d2478,too,too,INT,O
358, p72/d2478,busy,busy,IST,busy.a.01
359, p72/d2478,now,now,NOW,O
360, p72/d2478,to,to,NIL,O
361, p72/d2478,talk,talk,EXS,talk.v.01
362, p72/d2478,to,to,REL,O
363, p72/d2478,you,hearer,PRO,O
364, p72/d2478,.,.,NIL,O
365, p16/d3275,Pinocchio,pinocchio,PER,male.n.02
366, p16/d3275,walks,walk,ENS,walk.v.01
367, p16/d3275,about,about,REL,O
368, p16/d3275,the,the,DEF,O
369, p16/d3275,town,town,CON,town.n.01
370, p16/d3275,.,.,NIL,O
371, p03/d2401,It,time,PRO,time.n.08
372, p03/d2401,'s,be,NOW,O
373, p03/d2401,five~till~four,15:55,CLO,O
374, p03/d2401,.,.,NIL,O
375, p99/d1480,Thousands,2000,QUV,O
376, p99/d1480,of,of,REL,O
377, p99/d1480,Americans,america,GPO,country.n.02
378, p99/d1480,owned,own,EPS,own.v.01
379, p99/d1480,automobiles,automobile,CON,automobile.n.01
380, p99/d1480,.,.,NIL,O
381, p53/d2850,They,person,PRO,O
382, p53/d2850,walked,walk,EPS,walk.v.01
383, p53/d2850,two,2,QUC,O
384, p53/d2850,abreast,abreast,IST,abreast.r.01
385, p53/d2850,.,.,NIL,O
386, p59/d3416,Something,entity,DIS,entity.n.01
387, p59/d3416,bit,bite,EPS,bite.v.01
388, p59/d3416,me,speaker,PRO,O
389, p59/d3416,.,.,NIL,O
390, p78/d2301,There,there,NIL,O
391, p78/d2301,are,be,ENS,be.v.03
392, p78/d2301,some,some,DIS,O
393, p78/d2301,apples,apple,CON,apple.n.01
394, p78/d2301,in,in,REL,O
395, p78/d2301,that,that,DST,O
396, p78/d2301,box,box,CON,box.n.01
397, p78/d2301,.,.,NIL,O
398, p62/d2568,I,speaker,PRO,O
399, p62/d2568,ca,can,POS,O
400, p62/d2568,n't,not,NOT,O
401, p62/d2568,speak,speak,EXS,speak.v.03
402, p62/d2568,French,french,CON,french.n.01
403, p62/d2568,.,.,NIL,O
404, p99/d2376,The,the,DEF,O
405, p99/d2376,ducks,duck,CON,duck.n.01
406, p99/d2376,quacked,quack,EPS,quack.v.01
407, p99/d2376,.,.,NIL,O
408, p19/d2942,I,speaker,PRO,O
409, p19/d2942,'m,be,NOW,O
410, p19/d2942,allergic,allergic,IST,allergic.a.02
411, p19/d2942,to,to,REL,O
412, p19/d2942,dogs,dog,CON,dog.n.01
413, p19/d2942,.,.,NIL,O
414, p69/d2108,Resort~areas,resort~area,CON,resort_area.n.01
415, p69/d2108,abound,abound,ENS,abound.v.01
416, p69/d2108,in,in,REL,O
417, p69/d2108,tourists,tourist,ROL,tourist.n.01
418, p69/d2108,.,.,NIL,O
419, p92/d1704,I,speaker,PRO,O
420, p92/d1704,hated,hate,EPS,hate.v.01
421, p92/d1704,Tom,tom,PER,male.n.02
422, p92/d1704,.,.,NIL,O
423, p58/d2837,I,speaker,PRO,O
424, p58/d2837,love,love,ENS,love.v.01
425, p58/d2837,your,hearer,HAS,O
426, p58/d2837,clothes,clothes,CON,clothes.n.01
427, p58/d2837,.,.,NIL,O
428, p25/d3045,Tom,tom,PER,male.n.02
429, p25/d3045,is,be,NOW,O
430, p25/d3045,kneading,knead,EXG,knead.v.01
431, p25/d3045,the,the,DEF,O
432, p25/d3045,dough,dough,CON,dough.n.01
433, p25/d3045,.,.,NIL,O
434, p94/d1186,Annual,annual,IST,annual.a.02
435, p94/d1186,capacity,capacity,CON,capacity.n.01
436, p94/d1186,now,now,NOW,O
437, p94/d1186,amounts,amount,ENS,amount.v.02
438, p94/d1186,to,to,REL,O
439, p94/d1186,around,around,APX,O
440, p94/d1186,"90,000",90000,QUC,O
441, p94/d1186,tons,ton,UOM,ton.n.02
442, p94/d1186,.,.,NIL,O
443, p53/d3360,The,the,DEF,O
444, p53/d3360,wounded,wounded,IST,wounded.a.01
445, p53/d3360,woman,woman,CON,woman.n.01
446, p53/d3360,was,be,EPS,be.v.01
447, p53/d3360,a,a,DIS,O
448, p53/d3360,Brazilian,brazil,GPO,country.n.02
449, p53/d3360,tourist,tourist,ROL,tourist.n.01
450, p53/d3360,.,.,NIL,O
451, p27/d2568,Tom,tom,PER,male.n.02
452, p27/d2568,wore,wear,EPS,wear.v.01
453, p27/d2568,a,a,DIS,O
454, p27/d2568,hard~hat,hard~hat,CON,hard_hat.n.02
455, p27/d2568,.,.,NIL,O
456, p79/d2358,Everybody,person,AND,person.n.01
457, p79/d2358,claps,clap,ENS,clap.v.03
458, p79/d2358,.,.,NIL,O
459, p68/d2079,The,the,DEF,O
460, p68/d2079,island,island,CON,island.n.01
461, p68/d2079,is,be,ENS,be.v.03
462, p68/d2079,to,to,REL,O
463, p68/d2079,the,the,DEF,O
464, p68/d2079,south,south,CON,south.n.04
465, p68/d2079,of,of,REL,O
466, p68/d2079,Japan,japan,GPE,country.n.02
467, p68/d2079,.,.,NIL,O
468, p55/d2358,Akira,akira,PER,female.n.02
469, p55/d2358,is,be,NOW,O
470, p55/d2358,good,good,IST,good.a.01
471, p55/d2358,at,at,REL,O
472, p55/d2358,playing,play,EXG,play.v.01
473, p55/d2358,tennis,tennis,CON,tennis.n.01
474, p55/d2358,.,.,NIL,O
475, p37/d2087,She,female,PRO,female.n.02
476, p37/d2087,boiled,boil,EPS,boil.v.02
477, p37/d2087,the,the,DEF,O
478, p37/d2087,eggs,egg,CON,egg.n.02
479, p37/d2087,.,.,NIL,O
480, p95/d3515,Neither,neither,NOT,O
481, p95/d3515,Ania,ania,PER,female.n.02
482, p95/d3515,nor,nor,NOT,O
483, p95/d3515,Magdalena,magdalena,PER,female.n.02
484, p95/d3515,love,love,ENS,love.v.01
485, p95/d3515,Justin~Bieber,justin~bieber,PER,male.n.02
486, p95/d3515,.,.,NIL,O
487, p15/d3312,He,male,PRO,male.n.02
488, p15/d3312,chuckled,chuckle,EPS,chuckle.v.01
489, p15/d3312,.,.,NIL,O
490, p18/d2734,I,speaker,PRO,O
491, p18/d2734,owe,owe,ENS,owe.v.03
492, p18/d2734,him,male,PRO,male.n.02
493, p18/d2734,1000,1000,QUC,O
494, p18/d2734,yen,yen,UOM,yen.n.02
495, p18/d2734,.,.,NIL,O
496, p96/d2364,The,the,DEF,O
497, p96/d2364,dog,dog,CON,dog.n.01
498, p96/d2364,ran,run~away,EPS,run_away.v.01
499, p96/d2364,away,away,REL,O
500, p96/d2364,from,from,REL,O
501, p96/d2364,us,speaker,PRO,O
502, p96/d2364,.,.,NIL,O
503, p74/d2447,He,male,PRO,male.n.02
504, p74/d2447,made,make,EPS,make.v.39
505, p74/d2447,spaghetti,spaghetti,CON,spaghetti.n.01
506, p74/d2447,.,.,NIL,O
507, p34/d3378,There,there,NIL,O
508, p34/d3378,is,be,ENS,be.v.03
509, p34/d3378,a,a,DIS,O
510, p34/d3378,bottle,bottle,CON,bottle.n.01
511, p34/d3378,of,of,REL,O
512, p34/d3378,wine,wine,CON,wine.n.01
513, p34/d3378,on,on,REL,O
514, p34/d3378,the,the,DEF,O
515, p34/d3378,table,table,CON,table.n.01
516, p34/d3378,.,.,NIL,O
517, p88/d3441,Somebody,person,DIS,person.n.01
518, p88/d3441,laughed,laugh,EPS,laugh.v.01
519, p88/d3441,.,.,NIL,O
520, p57/d3525,Who,person,QUE,person.n.01
521, p57/d3525,invented,invent,EPS,invent.v.01
522, p57/d3525,dynamite,dynamite,CON,dynamite.n.01
523, p57/d3525,?,?,QUE,O
524, p32/d0955,My,speaker,HAS,O
525, p32/d0955,uncle,uncle,ROL,uncle.n.01
526, p32/d0955,is,be,NOW,O
527, p32/d0955,angry,angry,IST,angry.a.01
528, p32/d0955,.,.,NIL,O
529, p09/d3122,Is,be,NOW,O
530, p09/d3122,Tom,tom,PER,male.n.02
531, p09/d3122,all~right,all~right,IST,all_right.a.01
532, p09/d3122,?,?,QUE,O
533, p16/d3128,This,this,PRX,O
534, p16/d3128,book,book,CON,book.n.01
535, p16/d3128,is,be,NOW,O
536, p16/d3128,out~of~print,out~of~print,IST,out_of_print.a.01
537, p16/d3128,.,.,NIL,O
538, p94/d2177,You,hearer,PRO,O
539, p94/d2177,'re,be,NOW,O
540, p94/d2177,thirty,30,QUC,O
541, p94/d2177,minutes,minute,UOM,minute.n.01
542, p94/d2177,late,late,DEG,late.a.02
543, p94/d2177,.,.,NIL,O
544, p96/d1684,She,female,PRO,female.n.02
545, p96/d1684,is,be,NOW,O
546, p96/d1684,happy,happy,IST,happy.a.01
547, p96/d1684,.,.,NIL,O
548, p12/d2605,The,the,DEF,O
549, p12/d2605,gown,gown,CON,gown.n.01
550, p12/d2605,is,be,NOW,O
551, p12/d2605,made,make,EXS,make.v.06
552, p12/d2605,of,of,REL,O
553, p12/d2605,silk,silk,CON,silk.n.01
554, p12/d2605,.,.,NIL,O
555, p08/d1392,Name,name,EXS,name.v.02
556, p08/d1392,a,a,DIS,O
557, p08/d1392,poem,poem,CON,poem.n.01
558, p08/d1392,by,by,REL,O
559, p08/d1392,Eugenio~Montale,eugenio~montale,PER,male.n.02
560, p08/d1392,.,.,NIL,O
561, p69/d0849,She,female,PRO,female.n.02
562, p69/d0849,slapped,slap,EPS,slap.v.01
563, p69/d0849,him,male,PRO,male.n.02
564, p69/d0849,in,in,REL,O
565, p69/d0849,the,the,DEF,O
566, p69/d0849,face,face,CON,face.n.01
567, p69/d0849,.,.,NIL,O
568, p02/d0964,Tyler~Jackson,tyler~jackson,PER,male.n.02
569, p02/d0964,has,have,NOW,O
570, p02/d0964,been,be,PFT,O
571, p02/d0964,sentenced,sentence,EXS,sentence.v.01
572, p02/d0964,to,to,REL,O
573, p02/d0964,18,18,QUC,O
574, p02/d0964,months,month,UOM,month.n.02
575, p02/d0964,.,.,NIL,O
576, p99/d1710,The,the,DEF,O
577, p99/d1710,lake,lake,CON,lake.n.01
578, p99/d1710,is,be,NOW,O
579, p99/d1710,three,3,QUC,O
580, p99/d1710,miles,mile,UOM,mile.n.01
581, p99/d1710,across,across,IST,across.r.01
582, p99/d1710,.,.,NIL,O
583, p05/d3136,A,a,DIS,O
584, p05/d3136,boat,boat,CON,boat.n.01
585, p05/d3136,capsized,capsize,EPS,capsize.v.01
586, p05/d3136,.,.,NIL,O
587, p69/d0824,The,the,DEF,O
588, p69/d0824,game,game,CON,game.n.02
589, p69/d0824,ended,end,EPS,end.v.01
590, p69/d0824,at,at,REL,O
591, p69/d0824,nine~o'clock,09:00,CLO,O
592, p69/d0824,.,.,NIL,O
593, p82/d2388,The,the,DEF,O
594, p82/d2388,wine,wine,CON,wine.n.01
595, p82/d2388,was,be,PST,O
596, p82/d2388,excellent,excellent,IST,excellent.a.01
597, p82/d2388,.,.,NIL,O
598, p13/d0033,A,a,DIS,O
599, p13/d0033,young,young,DEG,young.a.01
600, p13/d0033,man,man,CON,man.n.01
601, p13/d0033,is,be,NOW,O
602, p13/d0033,sitting,sit,EXG,sit.v.01
603, p13/d0033,on,on,REL,O
604, p13/d0033,a,a,DIS,O
605, p13/d0033,bench,bench,CON,bench.n.01
606, p42/d2121,There,there,NIL,O
607, p42/d2121,are,be,ENS,be.v.03
608, p42/d2121,nine,9,QUC,O
609, p42/d2121,girls,girl,CON,girl.n.01
610, p42/d2121,and,and,GRP,O
611, p42/d2121,three,3,QUC,O
612, p42/d2121,boys,boy,CON,boy.n.01
613, p42/d2121,in,in,REL,O
614, p42/d2121,the,the,DEF,O
615, p42/d2121,library,library,CON,library.n.03
616, p42/d2121,.,.,NIL,O
617, p22/d2718,The,the,DEF,O
618, p22/d2718,results,result,CON,result.n.03
619, p22/d2718,are,be,NOW,O
620, p22/d2718,n't,not,NOT,O
621, p22/d2718,out,out,EXS,out.v.03
622, p22/d2718,yet,yet,ALT,O
623, p22/d2718,.,.,NIL,O
624, p04/d3319,I,speaker,PRO,O
