,sentence,word,sense,context,sym_context,sem_context,sns_context
22, p00/d3351,red,red.a.01,"[""'s"", 'eyes', 'are', 'red', ',', 'and', 'he']","[""'s"", 'eye', 'be', 'red', ',', 'and', 'male']","['HAS', 'CON', 'NOW', 'COL', 'NIL', 'COO', 'PRO']","['O', 'eye.n.01', 'O', 'red.a.01', 'O', 'O', 'male.n.02']"
23, p00/d3351,he,male.n.02,"['red', ',', 'and', 'he', 'looks', 'very', 'tired']","['red', ',', 'and', 'male', 'look', 'very', 'tired']","['COL', 'NIL', 'COO', 'PRO', 'ENS', 'INT', 'IST']","['red.a.01', 'O', 'O', 'male.n.02', 'look.v.02', 'very.r.01', 'tired.a.01']"
24, p00/d3351,looks,look.v.02,"[',', 'and', 'he', 'looks', 'very', 'tired', '.']","[',', 'and', 'male', 'look', 'very', 'tired', '.']","['NIL', 'COO', 'PRO', 'ENS', 'INT', 'IST', 'NIL']","['O', 'O', 'male.n.02', 'look.v.02', 'very.r.01', 'tired.a.01', 'O']"
25, p00/d3351,very,very.r.01,"['and', 'he', 'looks', 'very', 'tired', '.']","['and', 'male', 'look', 'very', 'tired', '.']","['COO', 'PRO', 'ENS', 'INT', 'IST', 'NIL']","['O', 'male.n.02', 'look.v.02', 'very.r.01', 'tired.a.01', 'O']"
26, p00/d1971,Tom,male.n.02,"['Tom', 'is', 'grinning', '.']","['tom', 'be', 'grin', '.']","['PER', 'NOW', 'EXG', 'NIL']","['male.n.02', 'O', 'grin.v.01', 'O']"
27, p30/d2063,people,person.n.01,"['Over', 'three~thousand', 'people', 'attended', 'the', 'concert']","['over', '3000', 'person', 'attend', 'the', 'concert']","['MOR', 'QUC', 'CON', 'EPS', 'DEF', 'CON']","['O', 'O', 'person.n.01', 'attend.v.01', 'O', 'concert.n.01']"
28, p30/d2063,attended,attend.v.01,"['Over', 'three~thousand', 'people', 'attended', 'the', 'concert', '.']","['over', '3000', 'person', 'attend', 'the', 'concert', '.']","['MOR', 'QUC', 'CON', 'EPS', 'DEF', 'CON', 'NIL']","['O', 'O', 'person.n.01', 'attend.v.01', 'O', 'concert.n.01', 'O']"
29, p00/d3506,He,male.n.02,"['He', ""'s"", 'a', 'terrible']","['male', 'be', 'a', 'terrible']","['PRO', 'ENS', 'DIS', 'IST']","['male.n.02', 'be.v.01', 'O', 'terrible.a.02']"
30, p00/d3506,'s,be.v.01,"['He', ""'s"", 'a', 'terrible', 'driver']","['male', 'be', 'a', 'terrible', 'driver']","['PRO', 'ENS', 'DIS', 'IST', 'ROL']","['male.n.02', 'be.v.01', 'O', 'terrible.a.02', 'driver.n.01']"
31, p00/d3506,terrible,terrible.a.02,"['He', ""'s"", 'a', 'terrible', 'driver', '.']","['male', 'be', 'a', 'terrible', 'driver', '.']","['PRO', 'ENS', 'DIS', 'IST', 'ROL', 'NIL']","['male.n.02', 'be.v.01', 'O', 'terrible.a.02', 'driver.n.01', 'O']"
32, p00/d2017,She,female.n.02,"['She', 'graduated', 'from', 'Kobe~University']","['female', 'graduate', 'from', 'kobe~university']","['PRO', 'EPS', 'REL', 'ORG']","['female.n.02', 'graduate.v.01', 'O', 'university.n.03']"
33, p00/d2017,graduated,graduate.v.01,"['She', 'graduated', 'from', 'Kobe~University', '.']","['female', 'graduate', 'from', 'kobe~university', '.']","['PRO', 'EPS', 'REL', 'ORG', 'NIL']","['female.n.02', 'graduate.v.01', 'O', 'university.n.03', 'O']"
34, p10/d0854,postman,postman.n.01,"['The', 'postman', 'was', 'bitten', 'by']","['the', 'postman', 'be', 'bite', 'by']","['DEF', 'ROL', 'PST', 'EXS', 'REL']","['O', 'postman.n.01', 'O', 'bite.v.01', 'O']"
35, p10/d0854,bitten,bite.v.01,"['The', 'postman', 'was', 'bitten', 'by', 'that', 'dog']","['the', 'postman', 'be', 'bite', 'by', 'that', 'dog']","['DEF', 'ROL', 'PST', 'EXS', 'REL', 'DST', 'CON']","['O', 'postman.n.01', 'O', 'bite.v.01', 'O', 'O', 'dog.n.01']"
36, p10/d2719,break,break_up.v.02,"['We', 'should', 'break', 'up', '.']","['speaker', 'should', 'break~up', 'up', '.']","['PRO', 'NEC', 'EXS', 'REL', 'NIL']","['O', 'O', 'break_up.v.02', 'O', 'O']"
37, p00/d1988,been,be.v.03,"['I', ""'ve"", 'never', 'been', 'to', 'Paris', '.']","['speaker', 'have', 'time', 'be', 'to', 'paris', '.']","['PRO', 'NOW', 'NOT', 'EXT', 'REL', 'GPE', 'NIL']","['O', 'O', 'O', 'be.v.03', 'O', 'city.n.01', 'O']"
38, p10/d1873,She,female.n.02,"['She', 'idolized', 'him', '.']","['female', 'idolize', 'male', '.']","['PRO', 'EPS', 'PRO', 'NIL']","['female.n.02', 'idolize.v.01', 'male.n.02', 'O']"
39, p10/d1873,idolized,idolize.v.01,"['She', 'idolized', 'him', '.']","['female', 'idolize', 'male', '.']","['PRO', 'EPS', 'PRO', 'NIL']","['female.n.02', 'idolize.v.01', 'male.n.02', 'O']"
40, p20/d2424,Tom,male.n.02,"['Tom', 'printed', 'out', 'the']","['tom', 'print', 'out', 'the']","['PER', 'EPS', 'REL', 'DEF']","['male.n.02', 'print.v.03', 'O', 'O']"
41, p20/d2424,printed,print.v.03,"['Tom', 'printed', 'out', 'the', 'page']","['tom', 'print', 'out', 'the', 'page']","['PER', 'EPS', 'REL', 'DEF', 'CON']","['male.n.02', 'print.v.03', 'O', 'O', 'page.n.01']"
42, p00/d2318,Tom,male.n.02,"['Tom', 'is', 'drowning', '!']","['tom', 'be', 'drown', '!']","['PER', 'NOW', 'EXG', 'EMP']","['male.n.02', 'O', 'drown.v.03', 'O']"
43, p20/d2108,This,entity.n.01,"['This', 'is', 'a', 'message']","['entity', 'be', 'a', 'message']","['PRX', 'ENS', 'DIS', 'CON']","['entity.n.01', 'be.v.01', 'O', 'message.n.01']"
44, p20/d2108,is,be.v.01,"['This', 'is', 'a', 'message', 'for']","['entity', 'be', 'a', 'message', 'for']","['PRX', 'ENS', 'DIS', 'CON', 'REL']","['entity.n.01', 'be.v.01', 'O', 'message.n.01', 'O']"
45, p20/d2108,message,message.n.01,"['This', 'is', 'a', 'message', 'for', 'them', '.']","['entity', 'be', 'a', 'message', 'for', 'person', '.']","['PRX', 'ENS', 'DIS', 'CON', 'REL', 'PRO', 'NIL']","['entity.n.01', 'be.v.01', 'O', 'message.n.01', 'O', 'person.n.01', 'O']"
46, p00/d2759,He,male.n.02,"['He', 'jumped', 'into', 'the']","['male', 'jump', 'into', 'the']","['PRO', 'EPS', 'REL', 'DEF']","['male.n.02', 'jump.v.01', 'O', 'O']"
47, p00/d2759,jumped,jump.v.01,"['He', 'jumped', 'into', 'the', 'train']","['male', 'jump', 'into', 'the', 'train']","['PRO', 'EPS', 'REL', 'DEF', 'CON']","['male.n.02', 'jump.v.01', 'O', 'O', 'train.n.01']"
48, p00/d3091,Tom,male.n.02,"['Tom', 'is', 'extremely', 'fit']","['tom', 'be', 'extremely', 'fit']","['PER', 'NOW', 'INT', 'IST']","['male.n.02', 'O', 'extremely.r.01', 'fit.a.03']"
49, p00/d3091,extremely,extremely.r.01,"['Tom', 'is', 'extremely', 'fit', '.']","['tom', 'be', 'extremely', 'fit', '.']","['PER', 'NOW', 'INT', 'IST', 'NIL']","['male.n.02', 'O', 'extremely.r.01', 'fit.a.03', 'O']"
50, p10/d0829,Prime~Minister,prime_minister.n.01,"['The', 'Prime~Minister', 'has', 'resigned', '.']","['the', 'prime~minister', 'have', 'resign', '.']","['DEF', 'ROL', 'NOW', 'EXT', 'NIL']","['O', 'prime_minister.n.01', 'O', 'resign.v.02', 'O']"
51, p00/d1682,heavy,heavy.a.01,"['How', 'heavy', 'you', 'are', '!']","['how', 'heavy', 'hearer', 'be', '!']","['EMP', 'DEG', 'PRO', 'NOW', 'EMP']","['O', 'heavy.a.01', 'O', 'O', 'O']"
52, p20/d2128,car,car.n.01,"['The', 'car', 'bumped', 'the', 'tree']","['the', 'car', 'bump', 'the', 'tree']","['DEF', 'CON', 'EPS', 'DEF', 'CON']","['O', 'car.n.01', 'bump.v.01', 'O', 'tree.n.01']"
53, p20/d2128,bumped,bump.v.01,"['The', 'car', 'bumped', 'the', 'tree', '.']","['the', 'car', 'bump', 'the', 'tree', '.']","['DEF', 'CON', 'EPS', 'DEF', 'CON', 'NIL']","['O', 'car.n.01', 'bump.v.01', 'O', 'tree.n.01', 'O']"
54, p30/d1948,waiting,wait.v.01,"['I', ""'m"", 'waiting', 'for', 'her', 'to']","['speaker', 'be', 'wait', 'for', 'female', 'to', 'female']","['PRO', 'NOW', 'EXG', 'REL', 'PRO', 'NIL', 'HAS']","['O', 'O', 'wait.v.01', 'O', 'female.n.02', 'O', 'female.n.02']"
55, p30/d1948,her,female.n.02,"[""'m"", 'waiting', 'for', 'her', 'to', 'climb', 'into']","['be', 'wait', 'for', 'female', 'to', 'climb', 'into', 'female']","['NOW', 'EXG', 'REL', 'PRO', 'NIL', 'EXS', 'REL', 'HAS']","['O', 'wait.v.01', 'O', 'female.n.02', 'O', 'climb.v.02', 'O', 'female.n.02']"
56, p30/d1948,climb,climb.v.02,"['for', 'her', 'to', 'climb', 'into', 'her', 'car']","['for', 'female', 'to', 'climb', 'into', 'female', 'car']","['REL', 'PRO', 'NIL', 'EXS', 'REL', 'HAS', 'CON']","['O', 'female.n.02', 'O', 'climb.v.02', 'O', 'female.n.02', 'car.n.01']"
57, p30/d1948,her,female.n.02,"['to', 'climb', 'into', 'her', 'car', '.']","['female', 'to', 'climb', 'into', 'female', 'car', '.']","['PRO', 'NIL', 'EXS', 'REL', 'HAS', 'CON', 'NIL']","['female.n.02', 'O', 'climb.v.02', 'O', 'female.n.02', 'car.n.01', 'O']"
58, p30/d2729,Tom,male.n.02,"['Tom', 'knocked', 'on', 'the']","['tom', 'knock', 'on', 'the']","['PER', 'EPS', 'REL', 'DEF']","['male.n.02', 'knock.v.02', 'O', 'O']"
59, p30/d2729,knocked,knock.v.02,"['Tom', 'knocked', 'on', 'the', 'door']","['tom', 'knock', 'on', 'the', 'door']","['PER', 'EPS', 'REL', 'DEF', 'CON']","['male.n.02', 'knock.v.02', 'O', 'O', 'door.n.01']"
60, p10/d3211,He,male.n.02,"['He', 'disappeared', 'again', '.']","['male', 'disappear', 'again', '.']","['PRO', 'EPS', 'ALT', 'NIL']","['male.n.02', 'disappear.v.01', 'O', 'O']"
61, p10/d3211,disappeared,disappear.v.01,"['He', 'disappeared', 'again', '.']","['male', 'disappear', 'again', '.']","['PRO', 'EPS', 'ALT', 'NIL']","['male.n.02', 'disappear.v.01', 'O', 'O']"
62, p30/d2915,Tom,male.n.02,"['Tom', ""'s"", 'hair', 'is']","['tom', ""'s"", 'hair', 'be']","['PER', 'HAS', 'CON', 'NOW']","['male.n.02', 'O', 'hair.n.01', 'O']"
63, p30/d2915,hair,hair.n.01,"['Tom', ""'s"", 'hair', 'is', 'chestnut~brown', '.']","['tom', ""'s"", 'hair', 'be', 'chestnut', '.']","['PER', 'HAS', 'CON', 'NOW', 'COL', 'NIL']","['male.n.02', 'O', 'hair.n.01', 'O', 'chestnut.a.01', 'O']"
64, p10/d3198,This,entity.n.01,"['This', 'disturbs', 'him', '.']","['entity', 'disturb', 'male', '.']","['PRX', 'ENS', 'PRO', 'NIL']","['entity.n.01', 'disturb.v.01', 'male.n.02', 'O']"
65, p10/d3198,disturbs,disturb.v.01,"['This', 'disturbs', 'him', '.']","['entity', 'disturb', 'male', '.']","['PRX', 'ENS', 'PRO', 'NIL']","['entity.n.01', 'disturb.v.01', 'male.n.02', 'O']"
66, p10/d1904,forgot,forget.v.02,"['I', 'forgot', 'the', 'password', '.']","['speaker', 'forget', 'the', 'password', '.']","['PRO', 'EPS', 'DEF', 'CON', 'NIL']","['O', 'forget.v.02', 'O', 'password.n.01', 'O']"
67, p10/d2970,young,young.a.01,"['The', 'young', 'boy', 'helped', 'the']","['the', 'young', 'boy', 'help', 'the']","['DEF', 'DEG', 'CON', 'EPS', 'DEF']","['O', 'young.a.01', 'boy.n.01', 'help.v.01', 'O']"
68, p10/d2970,boy,boy.n.01,"['The', 'young', 'boy', 'helped', 'the', 'old']","['the', 'young', 'boy', 'help', 'the', 'old']","['DEF', 'DEG', 'CON', 'EPS', 'DEF', 'DEG']","['O', 'young.a.01', 'boy.n.01', 'help.v.01', 'O', 'old.a.01']"
69, p10/d2970,helped,help.v.01,"['The', 'young', 'boy', 'helped', 'the', 'old', 'woman']","['the', 'young', 'boy', 'help', 'the', 'old', 'woman']","['DEF', 'DEG', 'CON', 'EPS', 'DEF', 'DEG', 'CON']","['O', 'young.a.01', 'boy.n.01', 'help.v.01', 'O', 'old.a.01', 'woman.n.01']"
70, p10/d2970,old,old.a.01,"['boy', 'helped', 'the', 'old', 'woman', '.']","['boy', 'help', 'the', 'old', 'woman', '.']","['CON', 'EPS', 'DEF', 'DEG', 'CON', 'NIL']","['boy.n.01', 'help.v.01', 'O', 'old.a.01', 'woman.n.01', 'O']"
71, p00/d2046,hope,hope.v.01,"['I', 'hope', 'Tom', 'agrees', '.']","['speaker', 'hope', 'tom', 'agree', '.']","['PRO', 'ENS', 'PER', 'ENS', 'NIL']","['O', 'hope.v.01', 'male.n.02', 'agree.v.01', 'O']"
72, p00/d2046,Tom,male.n.02,"['I', 'hope', 'Tom', 'agrees', '.']","['speaker', 'hope', 'tom', 'agree', '.']","['PRO', 'ENS', 'PER', 'ENS', 'NIL']","['O', 'hope.v.01', 'male.n.02', 'agree.v.01', 'O']"
73, p00/d1712,Tom,male.n.02,"['Tom', 'and', 'Mary', 'detest']","['tom', 'and', 'mary', 'detest']","['PER', 'GRP', 'PER', 'ENS']","['male.n.02', 'O', 'female.n.02', 'detest.v.01']"
74, p00/d1712,Mary,female.n.02,"['Tom', 'and', 'Mary', 'detest', 'each~other', '.']","['tom', 'and', 'mary', 'detest', 'each~other', '.']","['PER', 'GRP', 'PER', 'ENS', 'REF', 'NIL']","['male.n.02', 'O', 'female.n.02', 'detest.v.01', 'O', 'O']"
75, p00/d1712,detest,detest.v.01,"['Tom', 'and', 'Mary', 'detest', 'each~other', '.']","['tom', 'and', 'mary', 'detest', 'each~other', '.']","['PER', 'GRP', 'PER', 'ENS', 'REF', 'NIL']","['male.n.02', 'O', 'female.n.02', 'detest.v.01', 'O', 'O']"
76, p10/d2267,buy,buy.v.01,"['I', ""'ll"", 'buy', 'him', 'a', 'pencil']","['speaker', 'will', 'buy', 'male', 'a', 'pencil']","['PRO', 'FUT', 'EXS', 'PRO', 'DIS', 'CON']","['O', 'O', 'buy.v.01', 'male.n.02', 'O', 'pencil.n.01']"
77, p10/d2267,him,male.n.02,"['I', ""'ll"", 'buy', 'him', 'a', 'pencil', '.']","['speaker', 'will', 'buy', 'male', 'a', 'pencil', '.']","['PRO', 'FUT', 'EXS', 'PRO', 'DIS', 'CON', 'NIL']","['O', 'O', 'buy.v.01', 'male.n.02', 'O', 'pencil.n.01', 'O']"
78, p00/d2114,storm,storm.n.01,"['The', 'storm', 'let', 'up', '.']","['the', 'storm', 'let~up', 'up', '.']","['DEF', 'CON', 'EPS', 'REL', 'NIL']","['O', 'storm.n.01', 'let_up.v.01', 'O', 'O']"
79, p00/d2114,let,let_up.v.01,"['The', 'storm', 'let', 'up', '.']","['the', 'storm', 'let~up', 'up', '.']","['DEF', 'CON', 'EPS', 'REL', 'NIL']","['O', 'storm.n.01', 'let_up.v.01', 'O', 'O']"
80, p30/d2987,Tom,male.n.02,"['Tom', 'and', 'Mary', 'went']","['tom', 'and', 'mary', 'go']","['PER', 'GRP', 'PER', 'PST']","['male.n.02', 'O', 'female.n.02', 'O']"
81, p30/d2987,Mary,female.n.02,"['Tom', 'and', 'Mary', 'went', 'hunting', 'for']","['tom', 'and', 'mary', 'go', 'hunt', 'for']","['PER', 'GRP', 'PER', 'PST', 'EXG', 'REL']","['male.n.02', 'O', 'female.n.02', 'O', 'hunt.v.06', 'O']"
82, p30/d2987,hunting,hunt.v.06,"['and', 'Mary', 'went', 'hunting', 'for', 'Easter~eggs', '.']","['and', 'mary', 'go', 'hunt', 'for', 'easter~egg', '.']","['GRP', 'PER', 'PST', 'EXG', 'REL', 'CON', 'NIL']","['O', 'female.n.02', 'O', 'hunt.v.06', 'O', 'easter_egg.n.01', 'O']"
83, p00/d1795,needed,need.v.01,"['I', 'needed', 'it', '.']","['speaker', 'need', 'entity', '.']","['PRO', 'EPS', 'PRO', 'NIL']","['O', 'need.v.01', 'entity.n.01', 'O']"
84, p10/d0714,Reform,reform.n.01,"['Reform', 'allows', 'home', 'schooling']","['reform', 'allow', 'home', 'schooling']","['CON', 'ENS', 'CON', 'CON']","['reform.n.01', 'allow.v.01', 'home.n.02', 'schooling.n.01']"
85, p10/d0714,allows,allow.v.01,"['Reform', 'allows', 'home', 'schooling', '.']","['reform', 'allow', 'home', 'schooling', '.']","['CON', 'ENS', 'CON', 'CON', 'NIL']","['reform.n.01', 'allow.v.01', 'home.n.02', 'schooling.n.01', 'O']"
86, p10/d0714,home,home.n.02,"['Reform', 'allows', 'home', 'schooling', '.']","['reform', 'allow', 'home', 'schooling', '.']","['CON', 'ENS', 'CON', 'CON', 'NIL']","['reform.n.01', 'allow.v.01', 'home.n.02', 'schooling.n.01', 'O']"
87, p10/d1680,Tom,male.n.02,"['Tom', 'rolled', 'over', 'in']","['tom', 'roll~over', 'over', 'in']","['PER', 'EPS', 'REL', 'REL']","['male.n.02', 'roll_over.v.01', 'O', 'O']"
88, p10/d1680,rolled,roll_over.v.01,"['Tom', 'rolled', 'over', 'in', 'bed']","['tom', 'roll~over', 'over', 'in', 'bed']","['PER', 'EPS', 'REL', 'REL', 'CON']","['male.n.02', 'roll_over.v.01', 'O', 'O', 'bed.n.01']"
89, p30/d0839,He,male.n.02,"['He', 'is', 'a', 'scientist']","['male', 'be', 'a', 'scientist']","['PRO', 'ENS', 'DIS', 'ROL']","['male.n.02', 'be.v.08', 'O', 'scientist.n.01']"
90, p30/d0839,is,be.v.08,"['He', 'is', 'a', 'scientist', '.']","['male', 'be', 'a', 'scientist', '.']","['PRO', 'ENS', 'DIS', 'ROL', 'NIL']","['male.n.02', 'be.v.08', 'O', 'scientist.n.01', 'O']"
91, p10/d2171,One,person.n.01,"['One', 'can', 'not', 'not']","['person', 'can', 'not', 'not']","['AND', 'POS', 'NOT', 'NOT']","['person.n.01', 'O', 'O', 'O']"
92, p00/d0927,Tom,male.n.02,"['Tom', 'used', 'a', 'toothpick']","['tom', 'use', 'a', 'toothpick']","['PER', 'EPS', 'DIS', 'CON']","['male.n.02', 'use.v.01', 'O', 'toothpick.n.01']"
93, p00/d0927,used,use.v.01,"['Tom', 'used', 'a', 'toothpick', '.']","['tom', 'use', 'a', 'toothpick', '.']","['PER', 'EPS', 'DIS', 'CON', 'NIL']","['male.n.02', 'use.v.01', 'O', 'toothpick.n.01', 'O']"
94, p10/d3276,Push,push.v.02,"['Push', 'the', 'button', '.']","['push', 'the', 'button', '.']","['EXS', 'DEF', 'CON', 'NIL']","['push.v.02', 'O', 'button.n.07', 'O']"
95, p00/d0895,Where,location.n.01,"['Where', 'are', 'the', 'parking~metres']","['location', 'be', 'the', 'parking~meter']","['QUE', 'ENS', 'DEF', 'CON']","['location.n.01', 'be.v.03', 'O', 'parking_meter.n.01']"
96, p00/d0895,are,be.v.03,"['Where', 'are', 'the', 'parking~metres', '?']","['location', 'be', 'the', 'parking~meter', '?']","['QUE', 'ENS', 'DEF', 'CON', 'QUE']","['location.n.01', 'be.v.03', 'O', 'parking_meter.n.01', 'O']"
97, p10/d2418,It,time.n.08,"['It', ""'s"", 'October', 'the']","['time', 'be', 'october', 'the']","['PRO', 'NOW', 'MOY', 'EQU']","['time.n.08', 'O', 'O', 'O']"
98, p10/d3140,taunting,taunt.v.01,"['You', ""'re"", 'taunting', 'me', '.']","['hearer', 'be', 'taunt', 'speaker', '.']","['PRO', 'NOW', 'EXG', 'PRO', 'NIL']","['O', 'O', 'taunt.v.01', 'O', 'O']"
99, p00/d0942,want,want.v.01,"['I', 'do', ""n't"", 'want', 'pizza', '.', 'I']","['speaker', 'do', 'not', 'want', 'pizza', '.', 'speaker', '.']","['PRO', 'NOW', 'NOT', 'EXS', 'CON', 'NIL', 'PRO', 'NIL']","['O', 'O', 'O', 'want.v.01', 'pizza.n.01', 'O', 'O', 'O']"
100, p00/d0942,pizza,pizza.n.01,"['do', ""n't"", 'want', 'pizza', '.', 'I', ""'m""]","['speaker', 'do', 'not', 'want', 'pizza', '.', 'speaker', 'be', '.']","['PRO', 'NOW', 'NOT', 'EXS', 'CON', 'NIL', 'PRO', 'NOW', 'NIL']","['O', 'O', 'O', 'want.v.01', 'pizza.n.01', 'O', 'O', 'O', 'O']"
101, p10/d0893,Oscar,animal.n.01,"['Oscar', 'was', 'my', 'mum']","['oscar', 'be', 'speaker', 'mum']","['NTH', 'EPS', 'HAS', 'ROL']","['animal.n.01', 'be.v.02', 'O', 'mum.n.02']"
102, p10/d0893,was,be.v.02,"['Oscar', 'was', 'my', 'mum', ""'s""]","['oscar', 'be', 'speaker', 'mum', ""'s""]","['NTH', 'EPS', 'HAS', 'ROL', 'HAS']","['animal.n.01', 'be.v.02', 'O', 'mum.n.02', 'O']"
103, p10/d0893,mum,mum.n.02,"['Oscar', 'was', 'my', 'mum', ""'s"", 'dog', '.']","['oscar', 'be', 'speaker', 'mum', ""'s"", 'dog', '.']","['NTH', 'EPS', 'HAS', 'ROL', 'HAS', 'CON', 'NIL']","['animal.n.01', 'be.v.02', 'O', 'mum.n.02', 'O', 'dog.n.01', 'O']"
104, p10/d0802,He,male.n.02,"['He', 'wants', 'the', 'money']","['male', 'want', 'the', 'money']","['PRO', 'ENS', 'DEF', 'CON']","['male.n.02', 'want.v.03', 'O', 'money.n.01']"
