,sentence,word,sense,context,sym_context,sem_context,sns_context
19, p10/d2133,He,male.n.02,"['He', 'loves', 'animals']","['male', 'love', 'animal']","['PRO', 'ENS', 'CON']","['male.n.02', 'love.v.01', 'animal.n.01']"
20, p10/d2133,loves,love.v.01,"['He', 'loves', 'animals', '.']","['male', 'love', 'animal', '.']","['PRO', 'ENS', 'CON', 'NIL']","['male.n.02', 'love.v.01', 'animal.n.01', 'O']"
21, p10/d2133,animals,animal.n.01,"['He', 'loves', 'animals', '.']","['male', 'love', 'animal', '.']","['PRO', 'ENS', 'CON', 'NIL']","['male.n.02', 'love.v.01', 'animal.n.01', 'O']"
22, p20/d2435,marvelous,marvelous.a.01,"['What', 'a', 'marvelous', 'family', '!']","['what', 'a', 'marvelous', 'family', '!']","['EMP', 'DIS', 'IST', 'CON', 'EMP']","['O', 'O', 'marvelous.a.01', 'family.n.01', 'O']"
23, p20/d2435,family,family.n.01,"['a', 'marvelous', 'family', '!']","['a', 'marvelous', 'family', '!']","['DIS', 'IST', 'CON', 'EMP']","['O', 'marvelous.a.01', 'family.n.01', 'O']"
24, p20/d3528,He,male.n.02,"['He', 'is', 'very']","['male', 'be', 'very']","['PRO', 'NOW', 'INT']","['male.n.02', 'O', 'very.r.01']"
25, p20/d3528,very,very.r.01,"['He', 'is', 'very', 'young', '.']","['male', 'be', 'very', 'young', '.']","['PRO', 'NOW', 'INT', 'IST', 'NIL']","['male.n.02', 'O', 'very.r.01', 'young.a.01', 'O']"
26, p20/d3528,young,young.a.01,"['is', 'very', 'young', '.']","['be', 'very', 'young', '.']","['NOW', 'INT', 'IST', 'NIL']","['O', 'very.r.01', 'young.a.01', 'O']"
27, p10/d2075,accept,accept.v.02,"['I', 'accept', 'your', 'offer']","['speaker', 'accept', 'hearer', 'offer']","['PRO', 'ENS', 'HAS', 'CON']","['O', 'accept.v.02', 'O', 'O']"
28, p00/d3351,Tom,male.n.02,"['Tom', ""'s"", 'eyes']","['tom', ""'s"", 'eye']","['PER', 'HAS', 'CON']","['male.n.02', 'O', 'eye.n.01']"
29, p00/d3351,eyes,eye.n.01,"['Tom', ""'s"", 'eyes', 'are', 'red']","['tom', ""'s"", 'eye', 'be', 'red']","['PER', 'HAS', 'CON', 'NOW', 'COL']","['male.n.02', 'O', 'eye.n.01', 'O', 'red.a.01']"
30, p00/d3351,red,red.a.01,"['eyes', 'are', 'red', ',', 'and']","['eye', 'be', 'red', ',', 'and']","['CON', 'NOW', 'COL', 'NIL', 'COO']","['eye.n.01', 'O', 'red.a.01', 'O', 'O']"
31, p00/d3351,he,male.n.02,"[',', 'and', 'he', 'looks', 'very']","[',', 'and', 'male', 'look', 'very']","['NIL', 'COO', 'PRO', 'ENS', 'INT']","['O', 'O', 'male.n.02', 'look.v.02', 'very.r.01']"
32, p00/d3351,looks,look.v.02,"['and', 'he', 'looks', 'very', 'tired']","['and', 'male', 'look', 'very', 'tired']","['COO', 'PRO', 'ENS', 'INT', 'IST']","['O', 'male.n.02', 'look.v.02', 'very.r.01', 'tired.a.01']"
33, p00/d3351,very,very.r.01,"['he', 'looks', 'very', 'tired', '.']","['male', 'look', 'very', 'tired', '.']","['PRO', 'ENS', 'INT', 'IST', 'NIL']","['male.n.02', 'look.v.02', 'very.r.01', 'tired.a.01', 'O']"
34, p00/d3351,tired,tired.a.01,"['looks', 'very', 'tired', '.']","['look', 'very', 'tired', '.']","['ENS', 'INT', 'IST', 'NIL']","['look.v.02', 'very.r.01', 'tired.a.01', 'O']"
35, p00/d1971,Tom,male.n.02,"['Tom', 'is', 'grinning']","['tom', 'be', 'grin']","['PER', 'NOW', 'EXG']","['male.n.02', 'O', 'grin.v.01']"
36, p00/d1971,grinning,grin.v.01,"['Tom', 'is', 'grinning', '.']","['tom', 'be', 'grin', '.']","['PER', 'NOW', 'EXG', 'NIL']","['male.n.02', 'O', 'grin.v.01', 'O']"
37, p30/d2063,people,person.n.01,"['Over', 'three~thousand', 'people', 'attended', 'the']","['over', '3000', 'person', 'attend', 'the']","['MOR', 'QUC', 'CON', 'EPS', 'DEF']","['O', 'O', 'person.n.01', 'attend.v.01', 'O']"
38, p30/d2063,attended,attend.v.01,"['three~thousand', 'people', 'attended', 'the', 'concert']","['3000', 'person', 'attend', 'the', 'concert']","['QUC', 'CON', 'EPS', 'DEF', 'CON']","['O', 'person.n.01', 'attend.v.01', 'O', 'concert.n.01']"
39, p30/d2063,concert,concert.n.01,"['attended', 'the', 'concert', '.']","['attend', 'the', 'concert', '.']","['EPS', 'DEF', 'CON', 'NIL']","['attend.v.01', 'O', 'concert.n.01', 'O']"
40, p00/d3506,He,male.n.02,"['He', ""'s"", 'a']","['male', 'be', 'a']","['PRO', 'ENS', 'DIS']","['male.n.02', 'be.v.01', 'O']"
41, p00/d3506,'s,be.v.01,"['He', ""'s"", 'a', 'terrible']","['male', 'be', 'a', 'terrible']","['PRO', 'ENS', 'DIS', 'IST']","['male.n.02', 'be.v.01', 'O', 'terrible.a.02']"
42, p00/d3506,terrible,terrible.a.02,"[""'s"", 'a', 'terrible', 'driver', '.']","['be', 'a', 'terrible', 'driver', '.']","['ENS', 'DIS', 'IST', 'ROL', 'NIL']","['be.v.01', 'O', 'terrible.a.02', 'driver.n.01', 'O']"
43, p00/d3506,driver,driver.n.01,"['a', 'terrible', 'driver', '.']","['a', 'terrible', 'driver', '.']","['DIS', 'IST', 'ROL', 'NIL']","['O', 'terrible.a.02', 'driver.n.01', 'O']"
44, p00/d2017,She,female.n.02,"['She', 'graduated', 'from']","['female', 'graduate', 'from']","['PRO', 'EPS', 'REL']","['female.n.02', 'graduate.v.01', 'O']"
45, p00/d2017,graduated,graduate.v.01,"['She', 'graduated', 'from', 'Kobe~University']","['female', 'graduate', 'from', 'kobe~university']","['PRO', 'EPS', 'REL', 'ORG']","['female.n.02', 'graduate.v.01', 'O', 'university.n.03']"
46, p00/d2017,Kobe~University,university.n.03,"['graduated', 'from', 'Kobe~University', '.']","['graduate', 'from', 'kobe~university', '.']","['EPS', 'REL', 'ORG', 'NIL']","['graduate.v.01', 'O', 'university.n.03', 'O']"
47, p10/d0854,postman,postman.n.01,"['The', 'postman', 'was', 'bitten']","['the', 'postman', 'be', 'bite']","['DEF', 'ROL', 'PST', 'EXS']","['O', 'postman.n.01', 'O', 'bite.v.01']"
48, p10/d0854,bitten,bite.v.01,"['postman', 'was', 'bitten', 'by', 'that']","['postman', 'be', 'bite', 'by', 'that']","['ROL', 'PST', 'EXS', 'REL', 'DST']","['postman.n.01', 'O', 'bite.v.01', 'O', 'O']"
49, p10/d0854,dog,dog.n.01,"['by', 'that', 'dog', '.']","['by', 'that', 'dog', '.']","['REL', 'DST', 'CON', 'NIL']","['O', 'O', 'dog.n.01', 'O']"
50, p10/d2719,break,break_up.v.02,"['We', 'should', 'break', 'up', '.']","['speaker', 'should', 'break~up', 'up', '.']","['PRO', 'NEC', 'EXS', 'REL', 'NIL']","['O', 'O', 'break_up.v.02', 'O', 'O']"
51, p00/d1988,been,be.v.03,"[""'ve"", 'never', 'been', 'to', 'Paris']","['have', 'time', 'be', 'to', 'paris']","['NOW', 'NOT', 'EXT', 'REL', 'GPE']","['O', 'O', 'be.v.03', 'O', 'city.n.01']"
52, p00/d1988,Paris,city.n.01,"['been', 'to', 'Paris', '.']","['be', 'to', 'paris', '.']","['EXT', 'REL', 'GPE', 'NIL']","['be.v.03', 'O', 'city.n.01', 'O']"
53, p10/d1873,She,female.n.02,"['She', 'idolized', 'him']","['female', 'idolize', 'male']","['PRO', 'EPS', 'PRO']","['female.n.02', 'idolize.v.01', 'male.n.02']"
54, p10/d1873,idolized,idolize.v.01,"['She', 'idolized', 'him', '.']","['female', 'idolize', 'male', '.']","['PRO', 'EPS', 'PRO', 'NIL']","['female.n.02', 'idolize.v.01', 'male.n.02', 'O']"
55, p10/d1873,him,male.n.02,"['She', 'idolized', 'him', '.']","['female', 'idolize', 'male', '.']","['PRO', 'EPS', 'PRO', 'NIL']","['female.n.02', 'idolize.v.01', 'male.n.02', 'O']"
56, p20/d2424,Tom,male.n.02,"['Tom', 'printed', 'out']","['tom', 'print', 'out']","['PER', 'EPS', 'REL']","['male.n.02', 'print.v.03', 'O']"
57, p20/d2424,printed,print.v.03,"['Tom', 'printed', 'out', 'the']","['tom', 'print', 'out', 'the']","['PER', 'EPS', 'REL', 'DEF']","['male.n.02', 'print.v.03', 'O', 'O']"
58, p20/d2424,page,page.n.01,"['out', 'the', 'page', '.']","['out', 'the', 'page', '.']","['REL', 'DEF', 'CON', 'NIL']","['O', 'O', 'page.n.01', 'O']"
59, p00/d2318,Tom,male.n.02,"['Tom', 'is', 'drowning']","['tom', 'be', 'drown']","['PER', 'NOW', 'EXG']","['male.n.02', 'O', 'drown.v.03']"
60, p00/d2318,drowning,drown.v.03,"['Tom', 'is', 'drowning', '!']","['tom', 'be', 'drown', '!']","['PER', 'NOW', 'EXG', 'EMP']","['male.n.02', 'O', 'drown.v.03', 'O']"
61, p20/d2108,This,entity.n.01,"['This', 'is', 'a']","['entity', 'be', 'a']","['PRX', 'ENS', 'DIS']","['entity.n.01', 'be.v.01', 'O']"
62, p20/d2108,is,be.v.01,"['This', 'is', 'a', 'message']","['entity', 'be', 'a', 'message']","['PRX', 'ENS', 'DIS', 'CON']","['entity.n.01', 'be.v.01', 'O', 'message.n.01']"
63, p20/d2108,message,message.n.01,"['is', 'a', 'message', 'for', 'them']","['be', 'a', 'message', 'for', 'person']","['ENS', 'DIS', 'CON', 'REL', 'PRO']","['be.v.01', 'O', 'message.n.01', 'O', 'person.n.01']"
64, p20/d2108,them,person.n.01,"['message', 'for', 'them', '.']","['message', 'for', 'person', '.']","['CON', 'REL', 'PRO', 'NIL']","['message.n.01', 'O', 'person.n.01', 'O']"
65, p00/d1565,workaholic,workaholic.n.01,"[""'re"", 'a', 'workaholic', '.']","['be', 'a', 'workaholic', '.']","['NOW', 'DIS', 'ROL', 'NIL']","['O', 'O', 'workaholic.n.01', 'O']"
66, p00/d2759,He,male.n.02,"['He', 'jumped', 'into']","['male', 'jump', 'into']","['PRO', 'EPS', 'REL']","['male.n.02', 'jump.v.01', 'O']"
67, p00/d2759,jumped,jump.v.01,"['He', 'jumped', 'into', 'the']","['male', 'jump', 'into', 'the']","['PRO', 'EPS', 'REL', 'DEF']","['male.n.02', 'jump.v.01', 'O', 'O']"
68, p00/d2759,train,train.n.01,"['into', 'the', 'train', '.']","['into', 'the', 'train', '.']","['REL', 'DEF', 'CON', 'NIL']","['O', 'O', 'train.n.01', 'O']"
69, p00/d3091,Tom,male.n.02,"['Tom', 'is', 'extremely']","['tom', 'be', 'extremely']","['PER', 'NOW', 'INT']","['male.n.02', 'O', 'extremely.r.01']"
70, p00/d3091,extremely,extremely.r.01,"['Tom', 'is', 'extremely', 'fit', '.']","['tom', 'be', 'extremely', 'fit', '.']","['PER', 'NOW', 'INT', 'IST', 'NIL']","['male.n.02', 'O', 'extremely.r.01', 'fit.a.03', 'O']"
71, p00/d3091,fit,fit.a.03,"['is', 'extremely', 'fit', '.']","['be', 'extremely', 'fit', '.']","['NOW', 'INT', 'IST', 'NIL']","['O', 'extremely.r.01', 'fit.a.03', 'O']"
72, p10/d0829,Prime~Minister,prime_minister.n.01,"['The', 'Prime~Minister', 'has', 'resigned']","['the', 'prime~minister', 'have', 'resign']","['DEF', 'ROL', 'NOW', 'EXT']","['O', 'prime_minister.n.01', 'O', 'resign.v.02']"
73, p10/d0829,resigned,resign.v.02,"['Prime~Minister', 'has', 'resigned', '.']","['prime~minister', 'have', 'resign', '.']","['ROL', 'NOW', 'EXT', 'NIL']","['prime_minister.n.01', 'O', 'resign.v.02', 'O']"
74, p10/d3475,Read,read.v.01,"['Read', 'this', '.']","['read', 'entity', '.']","['EXS', 'PRX', 'NIL']","['read.v.01', 'entity.n.01', 'O']"
75, p10/d3475,this,entity.n.01,"['Read', 'this', '.']","['read', 'entity', '.']","['EXS', 'PRX', 'NIL']","['read.v.01', 'entity.n.01', 'O']"
76, p00/d1682,heavy,heavy.a.01,"['How', 'heavy', 'you', 'are']","['how', 'heavy', 'hearer', 'be']","['EMP', 'DEG', 'PRO', 'NOW']","['O', 'heavy.a.01', 'O', 'O']"
77, p20/d2128,car,car.n.01,"['The', 'car', 'bumped', 'the']","['the', 'car', 'bump', 'the']","['DEF', 'CON', 'EPS', 'DEF']","['O', 'car.n.01', 'bump.v.01', 'O']"
78, p20/d2128,bumped,bump.v.01,"['The', 'car', 'bumped', 'the', 'tree']","['the', 'car', 'bump', 'the', 'tree']","['DEF', 'CON', 'EPS', 'DEF', 'CON']","['O', 'car.n.01', 'bump.v.01', 'O', 'tree.n.01']"
79, p20/d2128,tree,tree.n.01,"['bumped', 'the', 'tree', '.']","['bump', 'the', 'tree', '.']","['EPS', 'DEF', 'CON', 'NIL']","['bump.v.01', 'O', 'tree.n.01', 'O']"
80, p30/d1948,waiting,wait.v.01,"['I', ""'m"", 'waiting', 'for', 'her']","['speaker', 'be', 'wait', 'for', 'female', 'female']","['PRO', 'NOW', 'EXG', 'REL', 'PRO', 'HAS']","['O', 'O', 'wait.v.01', 'O', 'female.n.02', 'female.n.02']"
81, p30/d1948,her,female.n.02,"['waiting', 'for', 'her', 'to', 'climb']","['wait', 'for', 'female', 'to', 'climb', 'female']","['EXG', 'REL', 'PRO', 'NIL', 'EXS', 'HAS']","['wait.v.01', 'O', 'female.n.02', 'O', 'climb.v.02', 'female.n.02']"
82, p30/d1948,climb,climb.v.02,"['her', 'to', 'climb', 'into', 'her']","['female', 'to', 'climb', 'into', 'female']","['PRO', 'NIL', 'EXS', 'REL', 'HAS']","['female.n.02', 'O', 'climb.v.02', 'O', 'female.n.02']"
83, p30/d1948,her,female.n.02,"['climb', 'into', 'her', 'car', '.']","['female', 'climb', 'into', 'female', 'car', '.']","['PRO', 'EXS', 'REL', 'HAS', 'CON', 'NIL']","['female.n.02', 'climb.v.02', 'O', 'female.n.02', 'car.n.01', 'O']"
84, p30/d1948,car,car.n.01,"['into', 'her', 'car', '.']","['female', 'into', 'female', 'car', '.']","['PRO', 'REL', 'HAS', 'CON', 'NIL']","['female.n.02', 'O', 'female.n.02', 'car.n.01', 'O']"
85, p30/d2729,Tom,male.n.02,"['Tom', 'knocked', 'on']","['tom', 'knock', 'on']","['PER', 'EPS', 'REL']","['male.n.02', 'knock.v.02', 'O']"
86, p30/d2729,knocked,knock.v.02,"['Tom', 'knocked', 'on', 'the']","['tom', 'knock', 'on', 'the']","['PER', 'EPS', 'REL', 'DEF']","['male.n.02', 'knock.v.02', 'O', 'O']"
87, p30/d2729,door,door.n.01,"['on', 'the', 'door', '.']","['on', 'the', 'door', '.']","['REL', 'DEF', 'CON', 'NIL']","['O', 'O', 'door.n.01', 'O']"
88, p10/d3211,He,male.n.02,"['He', 'disappeared', 'again']","['male', 'disappear', 'again']","['PRO', 'EPS', 'ALT']","['male.n.02', 'disappear.v.01', 'O']"
89, p10/d3211,disappeared,disappear.v.01,"['He', 'disappeared', 'again', '.']","['male', 'disappear', 'again', '.']","['PRO', 'EPS', 'ALT', 'NIL']","['male.n.02', 'disappear.v.01', 'O', 'O']"
90, p30/d2915,Tom,male.n.02,"['Tom', ""'s"", 'hair']","['tom', ""'s"", 'hair']","['PER', 'HAS', 'CON']","['male.n.02', 'O', 'hair.n.01']"
91, p30/d2915,hair,hair.n.01,"['Tom', ""'s"", 'hair', 'is', 'chestnut~brown']","['tom', ""'s"", 'hair', 'be', 'chestnut']","['PER', 'HAS', 'CON', 'NOW', 'COL']","['male.n.02', 'O', 'hair.n.01', 'O', 'chestnut.a.01']"
92, p30/d2915,chestnut~brown,chestnut.a.01,"['hair', 'is', 'chestnut~brown', '.']","['hair', 'be', 'chestnut', '.']","['CON', 'NOW', 'COL', 'NIL']","['hair.n.01', 'O', 'chestnut.a.01', 'O']"
93, p10/d3198,This,entity.n.01,"['This', 'disturbs', 'him']","['entity', 'disturb', 'male']","['PRX', 'ENS', 'PRO']","['entity.n.01', 'disturb.v.01', 'male.n.02']"
94, p10/d3198,disturbs,disturb.v.01,"['This', 'disturbs', 'him', '.']","['entity', 'disturb', 'male', '.']","['PRX', 'ENS', 'PRO', 'NIL']","['entity.n.01', 'disturb.v.01', 'male.n.02', 'O']"
95, p10/d3198,him,male.n.02,"['This', 'disturbs', 'him', '.']","['entity', 'disturb', 'male', '.']","['PRX', 'ENS', 'PRO', 'NIL']","['entity.n.01', 'disturb.v.01', 'male.n.02', 'O']"
96, p00/d3253,afraid,afraid.a.01,"['I', 'was', 'afraid', '.']","['speaker', 'be', 'afraid', '.']","['PRO', 'PST', 'IST', 'NIL']","['O', 'O', 'afraid.a.01', 'O']"
97, p10/d1904,forgot,forget.v.02,"['I', 'forgot', 'the', 'password']","['speaker', 'forget', 'the', 'password']","['PRO', 'EPS', 'DEF', 'CON']","['O', 'forget.v.02', 'O', 'password.n.01']"
98, p10/d1904,password,password.n.01,"['forgot', 'the', 'password', '.']","['forget', 'the', 'password', '.']","['EPS', 'DEF', 'CON', 'NIL']","['forget.v.02', 'O', 'password.n.01', 'O']"
99, p10/d2970,young,young.a.01,"['The', 'young', 'boy', 'helped']","['the', 'young', 'boy', 'help']","['DEF', 'DEG', 'CON', 'EPS']","['O', 'young.a.01', 'boy.n.01', 'help.v.01']"
100, p10/d2970,boy,boy.n.01,"['The', 'young', 'boy', 'helped', 'the']","['the', 'young', 'boy', 'help', 'the']","['DEF', 'DEG', 'CON', 'EPS', 'DEF']","['O', 'young.a.01', 'boy.n.01', 'help.v.01', 'O']"
101, p10/d2970,helped,help.v.01,"['young', 'boy', 'helped', 'the', 'old']","['young', 'boy', 'help', 'the', 'old']","['DEG', 'CON', 'EPS', 'DEF', 'DEG']","['young.a.01', 'boy.n.01', 'help.v.01', 'O', 'old.a.01']"
102, p10/d2970,old,old.a.01,"['helped', 'the', 'old', 'woman', '.']","['help', 'the', 'old', 'woman', '.']","['EPS', 'DEF', 'DEG', 'CON', 'NIL']","['help.v.01', 'O', 'old.a.01', 'woman.n.01', 'O']"
103, p10/d2970,woman,woman.n.01,"['the', 'old', 'woman', '.']","['the', 'old', 'woman', '.']","['DEF', 'DEG', 'CON', 'NIL']","['O', 'old.a.01', 'woman.n.01', 'O']"
104, p00/d2046,hope,hope.v.01,"['I', 'hope', 'Tom', 'agrees']","['speaker', 'hope', 'tom', 'agree']","['PRO', 'ENS', 'PER', 'ENS']","['O', 'hope.v.01', 'male.n.02', 'agree.v.01']"
105, p00/d2046,Tom,male.n.02,"['I', 'hope', 'Tom', 'agrees', '.']","['speaker', 'hope', 'tom', 'agree', '.']","['PRO', 'ENS', 'PER', 'ENS', 'NIL']","['O', 'hope.v.01', 'male.n.02', 'agree.v.01', 'O']"
106, p00/d2046,agrees,agree.v.01,"['hope', 'Tom', 'agrees', '.']","['hope', 'tom', 'agree', '.']","['ENS', 'PER', 'ENS', 'NIL']","['hope.v.01', 'male.n.02', 'agree.v.01', 'O']"
107, p00/d1712,Tom,male.n.02,"['Tom', 'and', 'Mary']","['tom', 'and', 'mary']","['PER', 'GRP', 'PER']","['male.n.02', 'O', 'female.n.02']"
108, p00/d1712,Mary,female.n.02,"['Tom', 'and', 'Mary', 'detest', 'each~other']","['tom', 'and', 'mary', 'detest', 'each~other']","['PER', 'GRP', 'PER', 'ENS', 'REF']","['male.n.02', 'O', 'female.n.02', 'detest.v.01', 'O']"
109, p00/d1712,detest,detest.v.01,"['and', 'Mary', 'detest', 'each~other', '.']","['and', 'mary', 'detest', 'each~other', '.']","['GRP', 'PER', 'ENS', 'REF', 'NIL']","['O', 'female.n.02', 'detest.v.01', 'O', 'O']"
110, p10/d2267,buy,buy.v.01,"['I', ""'ll"", 'buy', 'him', 'a']","['speaker', 'will', 'buy', 'male', 'a']","['PRO', 'FUT', 'EXS', 'PRO', 'DIS']","['O', 'O', 'buy.v.01', 'male.n.02', 'O']"
111, p10/d2267,him,male.n.02,"[""'ll"", 'buy', 'him', 'a', 'pencil']","['will', 'buy', 'male', 'a', 'pencil']","['FUT', 'EXS', 'PRO', 'DIS', 'CON']","['O', 'buy.v.01', 'male.n.02', 'O', 'pencil.n.01']"
112, p10/d2267,pencil,pencil.n.01,"['him', 'a', 'pencil', '.']","['male', 'a', 'pencil', '.']","['PRO', 'DIS', 'CON', 'NIL']","['male.n.02', 'O', 'pencil.n.01', 'O']"
113, p00/d2114,storm,storm.n.01,"['The', 'storm', 'let', 'up']","['the', 'storm', 'let~up', 'up']","['DEF', 'CON', 'EPS', 'REL']","['O', 'storm.n.01', 'let_up.v.01', 'O']"
114, p00/d2114,let,let_up.v.01,"['The', 'storm', 'let', 'up', '.']","['the', 'storm', 'let~up', 'up', '.']","['DEF', 'CON', 'EPS', 'REL', 'NIL']","['O', 'storm.n.01', 'let_up.v.01', 'O', 'O']"
115, p30/d2987,Tom,male.n.02,"['Tom', 'and', 'Mary']","['tom', 'and', 'mary']","['PER', 'GRP', 'PER']","['male.n.02', 'O', 'female.n.02']"
116, p30/d2987,Mary,female.n.02,"['Tom', 'and', 'Mary', 'went', 'hunting']","['tom', 'and', 'mary', 'go', 'hunt']","['PER', 'GRP', 'PER', 'PST', 'EXG']","['male.n.02', 'O', 'female.n.02', 'O', 'hunt.v.06']"
117, p30/d2987,hunting,hunt.v.06,"['Mary', 'went', 'hunting', 'for', 'Easter~eggs']","['mary', 'go', 'hunt', 'for', 'easter~egg']","['PER', 'PST', 'EXG', 'REL', 'CON']","['female.n.02', 'O', 'hunt.v.06', 'O', 'easter_egg.n.01']"
118, p30/d2987,Easter~eggs,easter_egg.n.01,"['hunting', 'for', 'Easter~eggs', '.']","['hunt', 'for', 'easter~egg', '.']","['EXG', 'REL', 'CON', 'NIL']","['hunt.v.06', 'O', 'easter_egg.n.01', 'O']"
119, p00/d1795,needed,need.v.01,"['I', 'needed', 'it', '.']","['speaker', 'need', 'entity', '.']","['PRO', 'EPS', 'PRO', 'NIL']","['O', 'need.v.01', 'entity.n.01', 'O']"
120, p00/d1795,it,entity.n.01,"['I', 'needed', 'it', '.']","['speaker', 'need', 'entity', '.']","['PRO', 'EPS', 'PRO', 'NIL']","['O', 'need.v.01', 'entity.n.01', 'O']"
121, p10/d0714,Reform,reform.n.01,"['Reform', 'allows', 'home']","['reform', 'allow', 'home']","['CON', 'ENS', 'CON']","['reform.n.01', 'allow.v.01', 'home.n.02']"
122, p10/d0714,allows,allow.v.01,"['Reform', 'allows', 'home', 'schooling']","['reform', 'allow', 'home', 'schooling']","['CON', 'ENS', 'CON', 'CON']","['reform.n.01', 'allow.v.01', 'home.n.02', 'schooling.n.01']"
123, p10/d0714,home,home.n.02,"['Reform', 'allows', 'home', 'schooling', '.']","['reform', 'allow', 'home', 'schooling', '.']","['CON', 'ENS', 'CON', 'CON', 'NIL']","['reform.n.01', 'allow.v.01', 'home.n.02', 'schooling.n.01', 'O']"
124, p10/d0714,schooling,schooling.n.01,"['allows', 'home', 'schooling', '.']","['allow', 'home', 'schooling', '.']","['ENS', 'CON', 'CON', 'NIL']","['allow.v.01', 'home.n.02', 'schooling.n.01', 'O']"
125, p10/d1680,Tom,male.n.02,"['Tom', 'rolled', 'over']","['tom', 'roll~over', 'over']","['PER', 'EPS', 'REL']","['male.n.02', 'roll_over.v.01', 'O']"
